section,female,male,period
0-9,"{'amount': 252092, 'percentage': 7.5}","{'amount': 314029, 'percentage': 9.4}",שנה
0-9,"{'amount': 31736, 'percentage': 4.3}","{'amount': 37552, 'percentage': 5.1}",6 חודשים
0-9,"{'amount': 1095, 'percentage': 3.8}","{'amount': 810, 'percentage': 2.8}",חודש אחרון
0-9,"{'amount': 13148, 'percentage': 4.1}","{'amount': 15046, 'percentage': 4.7}",3 חודשים
0-9,"{'amount': 363402, 'percentage': 7.9}","{'amount': 441838, 'percentage': 9.6}",מתחילת קורונה
10-19,"{'amount': 33019, 'percentage': 4.5}","{'amount': 31759, 'percentage': 4.3}",6 חודשים
10-19,"{'amount': 11923, 'percentage': 3.7}","{'amount': 11059, 'percentage': 3.4}",3 חודשים
10-19,"{'amount': 1575, 'percentage': 5.5}","{'amount': 1022, 'percentage': 3.5}",חודש אחרון
10-19,"{'amount': 300579, 'percentage': 9}","{'amount': 299029, 'percentage': 8.9}",שנה
10-19,"{'amount': 430203, 'percentage': 9.3}","{'amount': 439605, 'percentage': 9.5}",מתחילת קורונה
20-29,"{'amount': 45823, 'percentage': 6.2}","{'amount': 32410, 'percentage': 4.4}",6 חודשים
20-29,"{'amount': 264612, 'percentage': 7.9}","{'amount': 171885, 'percentage': 5.1}",שנה
20-29,"{'amount': 1499, 'percentage': 5.2}","{'amount': 862, 'percentage': 3}",חודש אחרון
20-29,"{'amount': 19585, 'percentage': 6.1}","{'amount': 14297, 'percentage': 4.5}",3 חודשים
20-29,"{'amount': 381589, 'percentage': 8.3}","{'amount': 269028, 'percentage': 5.8}",מתחילת קורונה
30-39,"{'amount': 291430, 'percentage': 8.7}","{'amount': 191161, 'percentage': 5.7}",שנה
30-39,"{'amount': 58626, 'percentage': 8}","{'amount': 42391, 'percentage': 5.8}",6 חודשים
30-39,"{'amount': 1968, 'percentage': 6.8}","{'amount': 1206, 'percentage': 4.2}",חודש אחרון
30-39,"{'amount': 24509, 'percentage': 7.6}","{'amount': 17984, 'percentage': 5.6}",3 חודשים
30-39,"{'amount': 388910, 'percentage': 8.4}","{'amount': 269327, 'percentage': 5.8}",מתחילת קורונה
40-49,"{'amount': 59993, 'percentage': 8.1}","{'amount': 40899, 'percentage': 5.5}",6 חודשים
40-49,"{'amount': 269869, 'percentage': 8.1}","{'amount': 179124, 'percentage': 5.3}",שנה
40-49,"{'amount': 2329, 'percentage': 8.1}","{'amount': 1252, 'percentage': 4.3}",חודש אחרון
40-49,"{'amount': 24830, 'percentage': 7.7}","{'amount': 17090, 'percentage': 5.3}",3 חודשים
40-49,"{'amount': 350139, 'percentage': 7.6}","{'amount': 243863, 'percentage': 5.3}",מתחילת קורונה
50-59,"{'amount': 24797, 'percentage': 7.7}","{'amount': 15647, 'percentage': 4.9}",3 חודשים
50-59,"{'amount': 192859, 'percentage': 5.8}","{'amount': 126934, 'percentage': 3.8}",שנה
50-59,"{'amount': 57058, 'percentage': 7.7}","{'amount': 35998, 'percentage': 4.9}",6 חודשים
50-59,"{'amount': 2403, 'percentage': 8.3}","{'amount': 1261, 'percentage': 4.4}",חודש אחרון
50-59,"{'amount': 246348, 'percentage': 5.3}","{'amount': 171380, 'percentage': 3.7}",מתחילת קורונה
60-69,"{'amount': 58941, 'percentage': 8}","{'amount': 40007, 'percentage': 5.4}",6 חודשים
60-69,"{'amount': 146890, 'percentage': 4.4}","{'amount': 102963, 'percentage': 3.1}",שנה
60-69,"{'amount': 2715, 'percentage': 9.4}","{'amount': 1673, 'percentage': 5.8}",חודש אחרון
60-69,"{'amount': 26742, 'percentage': 8.3}","{'amount': 18581, 'percentage': 5.8}",3 חודשים
60-69,"{'amount': 179669, 'percentage': 3.9}","{'amount': 132982, 'percentage': 2.9}",מתחילת קורונה
70-79,"{'amount': 23371, 'percentage': 7.3}","{'amount': 18100, 'percentage': 5.6}",3 חודשים
70-79,"{'amount': 91507, 'percentage': 2.7}","{'amount': 73462, 'percentage': 2.2}",שנה
70-79,"{'amount': 47964, 'percentage': 6.5}","{'amount': 37712, 'percentage': 5.1}",6 חודשים
70-79,"{'amount': 2770, 'percentage': 9.6}","{'amount': 1974, 'percentage': 6.8}",חודש אחרון
70-79,"{'amount': 108330, 'percentage': 2.3}","{'amount': 88762, 'percentage': 1.9}",מתחילת קורונה
80-89,"{'amount': 38545, 'percentage': 1.2}","{'amount': 28086, 'percentage': 0.8}",שנה
80-89,"{'amount': 20846, 'percentage': 2.8}","{'amount': 15408, 'percentage': 2.1}",6 חודשים
80-89,"{'amount': 1164, 'percentage': 4}","{'amount': 826, 'percentage': 2.9}",חודש אחרון
80-89,"{'amount': 11439, 'percentage': 3.6}","{'amount': 7974, 'percentage': 2.5}",3 חודשים
80-89,"{'amount': 48179, 'percentage': 1}","{'amount': 34985, 'percentage': 0.8}",מתחילת קורונה
90+,"{'amount': 5818, 'percentage': 0.8}","{'amount': 3050, 'percentage': 0.4}",6 חודשים
90+,"{'amount': 308, 'percentage': 1.1}","{'amount': 170, 'percentage': 0.6}",חודש אחרון
90+,"{'amount': 10897, 'percentage': 0.3}","{'amount': 5777, 'percentage': 0.2}",שנה
90+,"{'amount': 3324, 'percentage': 1}","{'amount': 1679, 'percentage': 0.5}",3 חודשים
90+,"{'amount': 14435, 'percentage': 0.3}","{'amount': 7467, 'percentage': 0.2}",מתחילת קורונה
