period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,36328,17144,47.19
3_Month,0-9,206367,42250,20.47
6_Month,0-9,1178240,507969,43.11
1_Year,0-9,1489811,639361,42.92
All,0-9,1703496,747216,43.86
1_Month,10-19,42995,21113,49.11
3_Month,10-19,224763,42612,18.96
6_Month,10-19,1093997,546933,49.99
1_Year,10-19,1388209,646994,46.61
All,10-19,1622990,792668,48.84
1_Month,20-29,56151,22396,39.89
3_Month,20-29,298699,45552,15.25
6_Month,20-29,944119,390263,41.34
1_Year,20-29,1223206,457481,37.4
All,20-29,1459429,578216,39.62
1_Month,30-39,64111,27667,43.15
3_Month,30-39,297786,60186,20.21
6_Month,30-39,925538,426780,46.11
1_Year,30-39,1166235,495390,42.48
All,30-39,1359512,580587,42.71
1_Month,40-49,65795,28980,44.05
3_Month,40-49,288168,60674,21.06
6_Month,40-49,848443,397089,46.8
1_Year,40-49,1045943,450330,43.05
All,40-49,1206991,523592,43.38
1_Month,50-59,61011,27083,44.39
3_Month,50-59,257512,54476,21.15
6_Month,50-59,658486,275903,41.9
1_Year,50-59,812207,306110,37.69
All,50-59,941550,362328,38.48
1_Month,60-69,64202,28736,44.76
3_Month,60-69,236127,55946,23.69
6_Month,60-69,548188,203995,37.21
1_Year,60-69,671014,223078,33.24
All,60-69,772762,260874,33.76
1_Month,70-79,58721,25492,43.41
3_Month,70-79,169230,46364,27.4
6_Month,70-79,350994,124207,35.39
1_Year,70-79,429170,134581,31.36
All,70-79,494077,154740,31.32
1_Month,80-89,33543,9787,29.18
3_Month,80-89,68638,17753,25.86
6_Month,80-89,131936,47479,35.99
1_Year,80-89,165724,52285,31.55
All,80-89,207640,63145,30.41
1_Month,90+,10738,2145,19.98
3_Month,90+,17765,4045,22.77
6_Month,90+,30820,11672,37.87
1_Year,90+,39296,12928,32.9
All,90+,53685,16545,30.82
