section,female,male,period,order_period
0-9,"{'amount': 2480, 'percentage': 10.5}","{'amount': 2484, 'percentage': 10.5}",חודש אחרון,5
0-9,"{'amount': 57267, 'percentage': 7.2}","{'amount': 60098, 'percentage': 7.6}",שנה,2
0-9,"{'amount': 24054, 'percentage': 10.1}","{'amount': 25311, 'percentage': 10.7}",6 חודשים,3
0-9,"{'amount': 2637, 'percentage': 10.1}","{'amount': 2632, 'percentage': 10.1}",3 חודשים,4
0-9,"{'amount': 59746, 'percentage': 7}","{'amount': 62767, 'percentage': 7.3}",מתחילת קורונה,1
10-19,"{'amount': 87048, 'percentage': 10.2}","{'amount': 93919, 'percentage': 11}",מתחילת קורונה,1
10-19,"{'amount': 2536, 'percentage': 10.7}","{'amount': 2128, 'percentage': 9}",חודש אחרון,5
10-19,"{'amount': 3006, 'percentage': 11.5}","{'amount': 2592, 'percentage': 10}",3 חודשים,4
10-19,"{'amount': 27444, 'percentage': 11.6}","{'amount': 25559, 'percentage': 10.8}",6 חודשים,3
10-19,"{'amount': 82158, 'percentage': 10.3}","{'amount': 87938, 'percentage': 11.1}",שנה,2
20-29,"{'amount': 23117, 'percentage': 9.7}","{'amount': 18769, 'percentage': 7.9}",6 חודשים,3
20-29,"{'amount': 1428, 'percentage': 5.5}","{'amount': 1318, 'percentage': 5.1}",3 חודשים,4
20-29,"{'amount': 1337, 'percentage': 5.7}","{'amount': 1210, 'percentage': 5.1}",חודש אחרון,5
20-29,"{'amount': 83615, 'percentage': 9.8}","{'amount': 78446, 'percentage': 9.2}",מתחילת קורונה,1
20-29,"{'amount': 76917, 'percentage': 9.7}","{'amount': 71257, 'percentage': 9}",שנה,2
30-39,"{'amount': 58440, 'percentage': 7.4}","{'amount': 52313, 'percentage': 6.6}",שנה,2
30-39,"{'amount': 17868, 'percentage': 7.5}","{'amount': 15227, 'percentage': 6.4}",6 חודשים,3
30-39,"{'amount': 1761, 'percentage': 6.8}","{'amount': 1442, 'percentage': 5.5}",3 חודשים,4
30-39,"{'amount': 1665, 'percentage': 7}","{'amount': 1346, 'percentage': 5.7}",חודש אחרון,5
30-39,"{'amount': 62820, 'percentage': 7.3}","{'amount': 57138, 'percentage': 6.7}",מתחילת קורונה,1
40-49,"{'amount': 50229, 'percentage': 6.3}","{'amount': 43956, 'percentage': 5.5}",שנה,2
40-49,"{'amount': 13757, 'percentage': 5.8}","{'amount': 11668, 'percentage': 4.9}",6 חודשים,3
40-49,"{'amount': 1799, 'percentage': 6.9}","{'amount': 1507, 'percentage': 5.8}",3 חודשים,4
40-49,"{'amount': 1661, 'percentage': 7}","{'amount': 1379, 'percentage': 5.8}",חודש אחרון,5
40-49,"{'amount': 54145, 'percentage': 6.3}","{'amount': 47869, 'percentage': 5.6}",מתחילת קורונה,1
50-59,"{'amount': 8822, 'percentage': 3.7}","{'amount': 7520, 'percentage': 3.2}",6 חודשים,3
50-59,"{'amount': 1161, 'percentage': 4.5}","{'amount': 985, 'percentage': 3.8}",3 חודשים,4
50-59,"{'amount': 36229, 'percentage': 4.6}","{'amount': 32516, 'percentage': 4.1}",שנה,2
50-59,"{'amount': 39389, 'percentage': 4.6}","{'amount': 35647, 'percentage': 4.2}",מתחילת קורונה,1
50-59,"{'amount': 1057, 'percentage': 4.5}","{'amount': 892, 'percentage': 3.8}",חודש אחרון,5
60-69,"{'amount': 998, 'percentage': 3.8}","{'amount': 975, 'percentage': 3.7}",3 חודשים,4
60-69,"{'amount': 5263, 'percentage': 2.2}","{'amount': 4453, 'percentage': 1.9}",6 חודשים,3
60-69,"{'amount': 920, 'percentage': 3.9}","{'amount': 903, 'percentage': 3.8}",חודש אחרון,5
60-69,"{'amount': 24787, 'percentage': 2.9}","{'amount': 24753, 'percentage': 2.9}",מתחילת קורונה,1
60-69,"{'amount': 22766, 'percentage': 2.9}","{'amount': 22514, 'percentage': 2.8}",שנה,2
70-79,"{'amount': 560, 'percentage': 2.4}","{'amount': 574, 'percentage': 2.4}",חודש אחרון,5
70-79,"{'amount': 609, 'percentage': 2.3}","{'amount': 619, 'percentage': 2.4}",3 חודשים,4
70-79,"{'amount': 2759, 'percentage': 1.2}","{'amount': 2268, 'percentage': 1}",6 חודשים,3
70-79,"{'amount': 11750, 'percentage': 1.5}","{'amount': 11489, 'percentage': 1.4}",שנה,2
70-79,"{'amount': 12809, 'percentage': 1.5}","{'amount': 12702, 'percentage': 1.5}",מתחילת קורונה,1
80-89,"{'amount': 237, 'percentage': 0.9}","{'amount': 217, 'percentage': 0.8}",3 חודשים,4
80-89,"{'amount': 6942, 'percentage': 0.9}","{'amount': 5047, 'percentage': 0.6}",שנה,2
80-89,"{'amount': 1569, 'percentage': 0.7}","{'amount': 1049, 'percentage': 0.4}",6 חודשים,3
80-89,"{'amount': 217, 'percentage': 0.9}","{'amount': 197, 'percentage': 0.8}",חודש אחרון,5
80-89,"{'amount': 7591, 'percentage': 0.9}","{'amount': 5558, 'percentage': 0.6}",מתחילת קורונה,1
90+,"{'amount': 3073, 'percentage': 0.4}","{'amount': 1466, 'percentage': 0.2}",מתחילת קורונה,1
90+,"{'amount': 75, 'percentage': 0.3}","{'amount': 28, 'percentage': 0.1}",חודש אחרון,5
90+,"{'amount': 83, 'percentage': 0.3}","{'amount': 30, 'percentage': 0.1}",3 חודשים,4
90+,"{'amount': 524, 'percentage': 0.2}","{'amount': 265, 'percentage': 0.1}",6 חודשים,3
90+,"{'amount': 2713, 'percentage': 0.3}","{'amount': 1324, 'percentage': 0.2}",שנה,2
