age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,636019,507474,1538337,41.3,33
20-29,1026462,937230,1300361,78.9,72.1
30-39,996175,928517,1197026,83.2,77.6
40-49,948253,889700,1098556,86.3,81
50-59,761936,718015,849966,89.6,84.5
60-69,673818,644780,741639,90.9,86.9
70-79,468565,455613,490784,95.5,92.8
80-89,211929,205845,225538,94,91.3
90+,48074,46249,51496,93.4,89.8
