period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,37345,17721,47.45
3_Month,0-9,207266,42826,20.66
6_Month,0-9,1178404,508425,43.15
1_Year,0-9,1489913,639793,42.94
All,0-9,1703583,747640,43.89
1_Month,10-19,43914,21672,49.35
3_Month,10-19,225532,43170,19.14
6_Month,10-19,1094202,547385,50.03
1_Year,10-19,1388326,647413,46.63
All,10-19,1623082,793059,48.86
1_Month,20-29,57082,22942,40.19
3_Month,20-29,299468,46099,15.39
6_Month,20-29,944391,390750,41.38
1_Year,20-29,1223359,457951,37.43
All,20-29,1459535,578655,39.65
1_Month,30-39,65297,28323,43.38
3_Month,30-39,298747,60838,20.36
6_Month,30-39,925827,427344,46.16
1_Year,30-39,1166404,495929,42.52
All,30-39,1359631,581099,42.74
1_Month,40-49,67005,29665,44.27
3_Month,40-49,289111,61359,21.22
6_Month,40-49,848705,397699,46.86
1_Year,40-49,1046099,450918,43.1
All,40-49,1207094,524146,43.42
1_Month,50-59,62164,27761,44.66
3_Month,50-59,258371,55154,21.35
6_Month,50-59,658817,276558,41.98
1_Year,50-59,812419,306746,37.76
All,50-59,941702,362936,38.54
1_Month,60-69,65360,29425,45.02
3_Month,60-69,236996,56634,23.9
6_Month,60-69,548564,204643,37.31
1_Year,60-69,671260,223721,33.33
All,60-69,772940,261495,33.83
1_Month,70-79,59709,26081,43.68
3_Month,70-79,169967,46952,27.62
6_Month,70-79,351380,124782,35.51
1_Year,70-79,429457,135153,31.47
All,70-79,494311,155303,31.42
1_Month,80-89,33984,10076,29.65
3_Month,80-89,68963,18043,26.16
6_Month,80-89,132149,47755,36.14
1_Year,80-89,165883,52560,31.68
All,80-89,207766,63419,30.52
1_Month,90+,10837,2220,20.49
3_Month,90+,17835,4120,23.1
6_Month,90+,30864,11744,38.05
1_Year,90+,39330,13000,33.05
All,90+,53715,16617,30.94
