instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,58.8,61,2022-03-28T00:00:00.000Z
סורוקה,67.1,76.5,2022-03-28T00:00:00.000Z
הכרמל,72.6,80.2,2022-03-28T00:00:00.000Z
יוספטל,75,52.3,2022-03-28T00:00:00.000Z
מאיר,81,94.3,2022-03-28T00:00:00.000Z
וולפסון,86.5,77.2,2022-03-28T00:00:00.000Z
שמיר,91.1,78,2022-03-28T00:00:00.000Z
הדסה הר הצופים,91.7,83.7,2022-03-28T00:00:00.000Z
המרכזי בעמק,94.2,76.5,2022-03-28T00:00:00.000Z
פוריה,96.2,82.3,2022-03-28T00:00:00.000Z
בני ציון,98.3,95.6,2022-03-28T00:00:00.000Z
"רמב""ם",103,87,2022-03-28T00:00:00.000Z
ברזילי,105.7,90.6,2022-03-28T00:00:00.000Z
רבין ק. בילינסון,111,94.3,2022-03-28T00:00:00.000Z
קפלן,114.7,98.9,2022-03-28T00:00:00.000Z
לניאדו,114.1,87.5,2022-03-28T00:00:00.000Z
זיו צפת,117.2,83.3,2022-03-28T00:00:00.000Z
הלל יפה,121.2,94,2022-03-28T00:00:00.000Z
נהריה,126.3,98.6,2022-03-28T00:00:00.000Z
אסותא אשדוד,142.4,109.9,2022-03-28T00:00:00.000Z
