CountBreath,CountDeath,CountEasyStatus,CountHardStatus,CountMediumStatus,Counthospitalized,Counthospitalized_without_release,StandardOccupancy,date,new_hospitalized,num_visits,patients_home,patients_hotel,total_beds
0,0,11,0,0,11,11,0.01237345331833521,2020-03-02T00:00:00.000Z,1,5632,-156,0,889
0,0,10,0,0,10,10,0.01124859392575928,2020-03-03T00:00:00.000Z,0,7857,-153,0,889
0,0,11,0,0,11,11,0.01237345331833521,2020-03-04T00:00:00.000Z,0,7012,-155,0,889
0,0,12,1,0,13,13,0.01462317210348707,2020-03-05T00:00:00.000Z,1,7012,-155,0,889
1,0,14,2,0,16,16,0.01799775028121485,2020-03-06T00:00:00.000Z,1,5177,-154,0,889
2,0,17,3,0,20,20,0.02249718785151856,2020-03-07T00:00:00.000Z,1,4861,-154,0,889
4,0,21,5,0,26,26,0.02924634420697413,2020-03-08T00:00:00.000Z,2,7330,-151,0,889
5,0,33,6,0,39,39,0.0438695163104612,2020-03-09T00:00:00.000Z,7,6205,-160,0,889
5,0,53,6,0,59,59,0.06636670416197975,2020-03-10T00:00:00.000Z,2,6021,-147,0,889
6,0,73,7,1,81,81,0.09111361079865017,2020-03-11T00:00:00.000Z,10,5981,-149,0,889
6,0,95,7,1,103,101,0.1158605174353206,2020-03-12T00:00:00.000Z,6,5983,-148,0,889
6,0,112,7,4,123,122,0.1383577052868391,2020-03-13T00:00:00.000Z,10,4121,-134,0,889
4,0,152,6,4,162,161,0.1822272215973003,2020-03-14T00:00:00.000Z,20,3692,-144,0,889
6,0,187,9,6,202,200,0.2272215973003375,2020-03-15T00:00:00.000Z,37,5491,-145,0,889
7,0,205,11,5,221,215,0.2485939257592801,2020-03-16T00:00:00.000Z,27,4759,-87,0,889
7,0,238,12,6,256,256,0.2879640044994376,2020-03-17T00:00:00.000Z,46,4338,-38,0,889
7,0,279,16,11,306,269,0.344206974128234,2020-03-18T00:00:00.000Z,54,3920,62,0,889
12,0,263,21,11,295,264,0.3318335208098988,2020-03-19T00:00:00.000Z,31,4053,192,0,889
12,1,252,23,14,289,251,0.3250843644544432,2020-03-20T00:00:00.000Z,30,3207,369,0,889
15,0,229,27,21,277,273,0.311586051743532,2020-03-21T00:00:00.000Z,35,2905,553,0,889
22,0,255,37,32,324,305,0.3644544431946007,2020-03-22T00:00:00.000Z,54,4523,768,0,889
24,0,274,42,36,352,323,0.3959505061867267,2020-03-23T00:00:00.000Z,58,4053,1088,0,889
26,3,302,45,48,395,343,0.4443194600674916,2020-03-24T00:00:00.000Z,82,3963,1481,0,889
28,1,311,49,53,413,397,0.4645669291338583,2020-03-25T00:00:00.000Z,81,3666,1839,0,889
31,5,345,54,65,464,413,0.5219347581552306,2020-03-26T00:00:00.000Z,83,3925,2321,0,889
37,2,381,65,69,515,469,0.5793025871766029,2020-03-27T00:00:00.000Z,110,3267,2688,0,889
41,1,362,69,82,513,485,0.5770528683914511,2020-03-28T00:00:00.000Z,53,2834,3128,0,889
50,3,377,78,88,543,515,0.6107986501687289,2020-03-29T00:00:00.000Z,70,4289,3593,0,889
54,1,427,87,105,619,570,0.6962879640044994,2020-03-30T00:00:00.000Z,121,3886,4052,0,889
64,4,457,98,113,668,627,0.7514060742407199,2020-03-31T00:00:00.000Z,111,4005,4668,0,889
72,7,515,111,143,769,728,0.8650168728908887,2020-04-01T00:00:00.000Z,147,4088,4516,689,889
79,10,555,113,145,813,727,0.9145106861642295,2020-04-02T00:00:00.000Z,115,4284,5102,720,889
93,5,515,130,159,804,719,0.9043869516310461,2020-04-03T00:00:00.000Z,97,3494,5612,717,889
107,7,481,139,171,791,752,0.889763779527559,2020-04-04T00:00:00.000Z,73,3155,5941,718,889
106,6,498,135,194,827,743,0.9302587176602924,2020-04-05T00:00:00.000Z,100,4495,6448,693,889
110,7,458,147,209,814,703,0.9156355455568054,2020-04-06T00:00:00.000Z,93,4088,6725,796,889
106,7,388,159,201,748,656,0.8413948256467941,2020-04-07T00:00:00.000Z,72,4313,6990,819,889
115,9,336,166,193,695,622,0.78177727784027,2020-04-08T00:00:00.000Z,57,3511,7165,859,889
117,8,312,166,187,665,634,0.7480314960629921,2020-04-09T00:00:00.000Z,65,3363,7293,944,889
128,8,330,170,170,670,598,0.7536557930258717,2020-04-10T00:00:00.000Z,56,4086,7418,1002,889
130,6,283,182,162,627,595,0.7052868391451068,2020-04-11T00:00:00.000Z,39,3172,7533,1061,889
130,7,316,177,174,667,620,0.750281214848144,2020-04-12T00:00:00.000Z,90,4965,7696,1074,889
137,7,330,192,169,691,629,0.7772778402699663,2020-04-13T00:00:00.000Z,91,4653,7700,1181,889
134,8,328,178,170,676,631,0.7604049493813273,2020-04-14T00:00:00.000Z,75,4376,7663,1229,889
133,13,319,180,174,673,655,0.7570303712035995,2020-04-15T00:00:00.000Z,69,3492,7627,1238,889
136,7,358,182,163,703,643,0.7907761529808774,2020-04-16T00:00:00.000Z,51,5388,7448,1366,889
125,9,337,166,163,666,613,0.749156355455568,2020-04-17T00:00:00.000Z,48,4188,7415,1348,889
118,11,329,174,141,644,619,0.7244094488188977,2020-04-18T00:00:00.000Z,42,3825,6998,1661,889
118,8,317,157,147,621,571,0.6985376827896513,2020-04-19T00:00:00.000Z,40,5788,6968,1707,889
123,6,322,155,135,612,560,0.688413948256468,2020-04-20T00:00:00.000Z,49,5097,6723,1723,889
119,9,254,145,147,546,509,0.6141732283464567,2020-04-21T00:00:00.000Z,27,4921,6589,1738,889
110,3,260,149,124,533,498,0.5995500562429696,2020-04-22T00:00:00.000Z,36,4822,6460,1739,889
114,4,249,146,107,502,454,0.5646794150731158,2020-04-23T00:00:00.000Z,32,5353,6525,1605,889
108,3,209,144,109,462,440,0.5196850393700787,2020-04-24T00:00:00.000Z,26,4411,6131,1751,889
107,3,201,136,105,442,429,0.4971878515185602,2020-04-25T00:00:00.000Z,8,3643,5854,1762,889
111,2,207,142,92,441,415,0.4960629921259843,2020-04-26T00:00:00.000Z,33,5757,5741,1737,889
102,4,193,133,88,414,382,0.4656917885264342,2020-04-27T00:00:00.000Z,21,5298,5293,1775,889
101,5,178,128,85,391,367,0.4398200224971879,2020-04-28T00:00:00.000Z,28,4854,5011,1726,889
96,6,169,121,87,377,362,0.4240719910011249,2020-04-29T00:00:00.000Z,23,4207,4667,1726,889
