instituteDesc,occupancy,gOccupancy,occupancyDate
סורוקה,60.9,78.3,2022-04-05T00:00:00.000Z
רבין ק. השרון,61.4,80.5,2022-04-05T00:00:00.000Z
הכרמל,77.4,84.9,2022-04-05T00:00:00.000Z
מאיר,86.5,89.5,2022-04-05T00:00:00.000Z
הדסה הר הצופים,88.9,84.7,2022-04-05T00:00:00.000Z
שמיר,91.5,81.8,2022-04-05T00:00:00.000Z
הלל יפה,91.1,86.2,2022-04-05T00:00:00.000Z
ברזילי,91.1,89.7,2022-04-05T00:00:00.000Z
יוספטל,93.8,46.2,2022-04-05T00:00:00.000Z
וולפסון,94.3,82.9,2022-04-05T00:00:00.000Z
"רמב""ם",98.5,88.9,2022-04-05T00:00:00.000Z
בני ציון,98.3,93.3,2022-04-05T00:00:00.000Z
זיו צפת,100,84.7,2022-04-05T00:00:00.000Z
פוריה,101.3,86.2,2022-04-05T00:00:00.000Z
המרכזי בעמק,101.3,74.4,2022-04-05T00:00:00.000Z
לניאדו,102.6,101.4,2022-04-05T00:00:00.000Z
שיבא,108.4,108,2022-04-05T00:00:00.000Z
קפלן,108,97.2,2022-04-05T00:00:00.000Z
רבין ק. בילינסון,116.7,99.6,2022-04-05T00:00:00.000Z
נהריה,120.5,95.5,2022-04-05T00:00:00.000Z
הדסה עין כרם,136.9,99.1,2022-04-05T00:00:00.000Z
