period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,124503,36590,29.39
3_Month,0-9,1116079,470302,42.14
6_Month,0-9,1251647,498081,39.79
1_Year,0-9,1482852,605959,40.86
All,0-9,1677911,713678,42.53
1_Month,10-19,127211,38304,30.11
3_Month,10-19,1009939,508237,50.32
6_Month,10-19,1154094,534332,46.3
1_Year,10-19,1371036,614348,44.81
All,10-19,1589736,759471,47.77
1_Month,20-29,169549,41815,24.66
3_Month,20-29,807023,347394,43.05
6_Month,20-29,978540,359979,36.79
1_Year,20-29,1180903,418063,35.4
All,20-29,1400272,540470,38.6
1_Month,30-39,166371,44445,26.71
3_Month,30-39,797080,370847,46.53
6_Month,30-39,939465,384381,40.91
1_Year,30-39,1119214,443256,39.6
All,30-39,1296728,530328,40.9
1_Month,40-49,163149,42528,26.07
3_Month,40-49,733723,340452,46.4
6_Month,40-49,852584,351630,41.24
1_Year,40-49,998744,397328,39.78
All,40-49,1148941,472228,41.1
1_Month,50-59,146213,32447,22.19
3_Month,50-59,545117,224255,41.14
6_Month,50-59,645717,230293,35.66
1_Year,50-59,758101,256517,33.84
All,50-59,881345,314336,35.67
1_Month,60-69,130457,24638,18.89
3_Month,60-69,442500,150395,33.99
6_Month,60-69,524806,154223,29.39
1_Year,60-69,615627,170933,27.77
All,60-69,713643,209660,29.38
1_Month,70-79,88565,15380,17.37
3_Month,70-79,270974,79466,29.33
6_Month,70-79,323865,81464,25.15
1_Year,70-79,383082,90645,23.66
All,70-79,446796,111172,24.88
1_Month,80-89,37397,5252,14.04
3_Month,80-89,103839,30392,29.27
6_Month,80-89,122754,31115,25.35
1_Year,80-89,150132,35540,23.67
All,80-89,190346,46536,24.45
1_Month,90+,9985,1104,11.06
3_Month,90+,25008,7790,31.15
6_Month,90+,29288,7951,27.15
1_Year,90+,36386,9132,25.1
All,90+,49693,12806,25.77
