priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date,israeli_positive,foreigner_positive
LastMonth,New Zealand ,כתום,2,86,0,0,2022-09-05T00:00:00.000Z,0,0
LastMonth,Senegal ,כתום,2,362,1,0.28,2022-09-05T00:00:00.000Z,1,0
LastMonth,Oman  ,כתום,2,4,0,0,2022-09-05T00:00:00.000Z,0,0
LastMonth,Bulgaria,כתום,2,18707,178,0.95,2022-09-05T00:00:00.000Z,178,0
LastMonth,Cambodia  ,כתום,2,21,1,4.76,2022-09-05T00:00:00.000Z,1,0
LastMonth,Costa Rica ,כתום,2,173,3,1.73,2022-09-05T00:00:00.000Z,3,0
LastMonth,Turkmenistan ,כתום,2,83,0,0,2022-09-05T00:00:00.000Z,0,0
LastMonth,Puerto Rico ,כתום,2,28,0,0,2022-09-05T00:00:00.000Z,0,0
LastMonth,Romania ,כתום,2,15944,156,0.98,2022-09-05T00:00:00.000Z,154,2
LastMonth,Taiwan,כתום,2,154,0,0,2022-09-05T00:00:00.000Z,0,0
LastMonth,Guatemala  ,כתום,2,130,0,0,2022-09-05T00:00:00.000Z,0,0
LastMonth,Paraguay ,כתום,2,53,0,0,2022-09-05T00:00:00.000Z,0,0
LastMonth,Republic Of Kosovo,כתום,2,52,0,0,2022-09-05T00:00:00.000Z,0,0
LastMonth,Burkina Faso ,כתום,2,27,1,3.7,2022-09-05T00:00:00.000Z,0,1
LastMonth,Armenia ,כתום,2,172,1,0.58,2022-09-05T00:00:00.000Z,1,0
LastMonth,Cayman Islands,כתום,2,1,0,0,2022-09-05T00:00:00.000Z,0,0
LastMonth,Austria ,כתום,2,15778,134,0.85,2022-09-05T00:00:00.000Z,130,4
LastMonth,Jordan ,כתום,2,7005,12,0.17,2022-09-05T00:00:00.000Z,12,0
LastMonth,Poland,כתום,2,11865,102,0.86,2022-09-05T00:00:00.000Z,101,1
LastMonth,Mauritius  ,כתום,2,167,2,1.2,2022-09-05T00:00:00.000Z,2,0
LastMonth,Vanuatu ,כתום,2,2,0,0,2022-09-05T00:00:00.000Z,0,0
