period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,12972,2394,18.46
3_Month,0-9,90942,41987,46.17
6_Month,0-9,328321,99648,30.35
1_Year,0-9,1396128,602350,43.14
All,0-9,1710812,765022,44.72
1_Month,10-19,14712,2331,15.84
3_Month,10-19,92805,39670,42.75
6_Month,10-19,346078,95976,27.73
1_Year,10-19,1289031,618396,47.97
All,10-19,1628067,805900,49.5
1_Month,20-29,23082,4134,17.91
3_Month,20-29,123819,51671,41.73
6_Month,20-29,464796,113559,24.43
1_Year,20-29,1146074,447279,39.03
All,20-29,1469647,601104,40.9
1_Month,30-39,24095,4868,20.2
3_Month,30-39,139816,63932,45.73
6_Month,30-39,460170,136616,29.69
1_Year,30-39,1101794,491815,44.64
All,30-39,1369321,608817,44.46
1_Month,40-49,23989,5062,21.1
3_Month,40-49,137309,64353,46.87
6_Month,40-49,438313,134655,30.72
1_Year,40-49,991314,452657,45.66
All,40-49,1216492,552308,45.4
1_Month,50-59,23688,5072,21.41
3_Month,50-59,126203,60948,48.29
6_Month,50-59,388307,117886,30.36
1_Year,50-59,774819,319892,41.29
All,50-59,951654,392014,41.19
1_Month,60-69,26999,6178,22.88
3_Month,60-69,135015,66415,49.19
6_Month,60-69,357717,116295,32.51
1_Year,60-69,646342,247796,38.34
All,60-69,785001,295949,37.7
1_Month,70-79,27001,6097,22.58
3_Month,70-79,121635,59504,48.92
6_Month,70-79,259230,94868,36.6
1_Year,70-79,421976,161566,38.29
All,70-79,508983,187684,36.87
1_Month,80-89,19035,3056,16.05
3_Month,80-89,63837,26188,41.02
6_Month,80-89,104284,39001,37.4
1_Year,80-89,164312,65017,39.57
All,80-89,216482,78592,36.3
1_Month,90+,6408,851,13.28
3_Month,90+,18236,6477,35.52
6_Month,90+,25661,9407,36.66
1_Year,90+,39101,16192,41.41
All,90+,56300,20477,36.37
