section,female,male,period
0-9,"{'amount': 1, 'percentage': 0.2}","{'amount': 5, 'percentage': 1.1}",3 חודשים
0-9,"{'amount': 17, 'percentage': 0.3}","{'amount': 34, 'percentage': 0.5}",מתחילת קורונה
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.6}",חודש אחרון
0-9,"{'amount': 10, 'percentage': 0.4}","{'amount': 24, 'percentage': 1}",שנה
0-9,"{'amount': 3, 'percentage': 0.4}","{'amount': 7, 'percentage': 0.8}",6 חודשים
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 25, 'percentage': 0.4}",מתחילת קורונה
10-19,"{'amount': 15, 'percentage': 0.6}","{'amount': 16, 'percentage': 0.7}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.6}",חודש אחרון
10-19,"{'amount': 2, 'percentage': 0.2}","{'amount': 1, 'percentage': 0.1}",6 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.2}",3 חודשים
20-29,"{'amount': 6, 'percentage': 0.7}","{'amount': 7, 'percentage': 0.8}",6 חודשים
20-29,"{'amount': 1, 'percentage': 0.6}","{'amount': 1, 'percentage': 0.6}",חודש אחרון
20-29,"{'amount': 62, 'percentage': 1}","{'amount': 57, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 22, 'percentage': 0.9}","{'amount': 22, 'percentage': 0.9}",שנה
20-29,"{'amount': 6, 'percentage': 1.3}","{'amount': 3, 'percentage': 0.7}",3 חודשים
30-39,"{'amount': 10, 'percentage': 2.2}","{'amount': 3, 'percentage': 0.7}",3 חודשים
30-39,"{'amount': 113, 'percentage': 1.7}","{'amount': 106, 'percentage': 1.6}",מתחילת קורונה
30-39,"{'amount': 3, 'percentage': 1.8}","{'amount': 1, 'percentage': 0.6}",חודש אחרון
30-39,"{'amount': 39, 'percentage': 1.6}","{'amount': 46, 'percentage': 1.9}",שנה
30-39,"{'amount': 17, 'percentage': 2}","{'amount': 17, 'percentage': 2}",6 חודשים
40-49,"{'amount': 143, 'percentage': 2.2}","{'amount': 270, 'percentage': 4.2}",מתחילת קורונה
40-49,"{'amount': 2, 'percentage': 1.2}","{'amount': 3, 'percentage': 1.8}",חודש אחרון
40-49,"{'amount': 50, 'percentage': 2}","{'amount': 98, 'percentage': 4}",שנה
40-49,"{'amount': 12, 'percentage': 1.4}","{'amount': 19, 'percentage': 2.3}",6 חודשים
40-49,"{'amount': 6, 'percentage': 1.3}","{'amount': 9, 'percentage': 2}",3 חודשים
50-59,"{'amount': 266, 'percentage': 4.1}","{'amount': 567, 'percentage': 8.8}",מתחילת קורונה
50-59,"{'amount': 103, 'percentage': 4.2}","{'amount': 191, 'percentage': 7.8}",שנה
50-59,"{'amount': 12, 'percentage': 2.7}","{'amount': 21, 'percentage': 4.7}",3 חודשים
50-59,"{'amount': 8, 'percentage': 4.7}","{'amount': 12, 'percentage': 7.1}",חודש אחרון
50-59,"{'amount': 23, 'percentage': 2.7}","{'amount': 52, 'percentage': 6.2}",6 חודשים
60-69,"{'amount': 528, 'percentage': 8.2}","{'amount': 992, 'percentage': 15.3}",מתחילת קורונה
60-69,"{'amount': 13, 'percentage': 7.7}","{'amount': 26, 'percentage': 15.4}",חודש אחרון
60-69,"{'amount': 198, 'percentage': 8.1}","{'amount': 317, 'percentage': 12.9}",שנה
60-69,"{'amount': 59, 'percentage': 7}","{'amount': 123, 'percentage': 14.6}",6 חודשים
60-69,"{'amount': 28, 'percentage': 6.2}","{'amount': 68, 'percentage': 15.1}",3 חודשים
70-79,"{'amount': 630, 'percentage': 9.7}","{'amount': 1100, 'percentage': 17}",מתחילת קורונה
70-79,"{'amount': 263, 'percentage': 10.7}","{'amount': 379, 'percentage': 15.5}",שנה
70-79,"{'amount': 20, 'percentage': 11.8}","{'amount': 24, 'percentage': 14.2}",חודש אחרון
70-79,"{'amount': 91, 'percentage': 10.8}","{'amount': 151, 'percentage': 17.9}",6 חודשים
70-79,"{'amount': 51, 'percentage': 11.4}","{'amount': 76, 'percentage': 16.9}",3 חודשים
80-89,"{'amount': 521, 'percentage': 8}","{'amount': 702, 'percentage': 10.8}",מתחילת קורונה
80-89,"{'amount': 16, 'percentage': 9.5}","{'amount': 26, 'percentage': 15.4}",חודש אחרון
80-89,"{'amount': 225, 'percentage': 9.2}","{'amount': 281, 'percentage': 11.5}",שנה
80-89,"{'amount': 73, 'percentage': 8.7}","{'amount': 115, 'percentage': 13.7}",6 חודשים
80-89,"{'amount': 45, 'percentage': 10}","{'amount': 65, 'percentage': 14.5}",3 חודשים
90+,"{'amount': 20, 'percentage': 4.5}","{'amount': 19, 'percentage': 4.2}",3 חודשים
90+,"{'amount': 158, 'percentage': 2.4}","{'amount': 161, 'percentage': 2.5}",מתחילת קורונה
90+,"{'amount': 6, 'percentage': 3.6}","{'amount': 5, 'percentage': 3}",חודש אחרון
90+,"{'amount': 77, 'percentage': 3.1}","{'amount': 73, 'percentage': 3}",שנה
90+,"{'amount': 33, 'percentage': 3.9}","{'amount': 31, 'percentage': 3.7}",6 חודשים
