name,value
פסיכולוגיה,0
פיזיותרפיה,0
פראמדיקים,0
חובשי רפואת חירום,0
ריפוי בעיסוק,1
כוח עזר,1
רוקחות,1
שירות סוציאלי,1
קלינאות תקשורת,1
מערך לוגיסטי,1
מעבדה,4
סקטורים אחרים,11
מינהל ומשק,23
