period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,46697,23385,50.08
3_Month,0-9,200116,42008,20.99
6_Month,0-9,1149905,504824,43.9
1_Year,0-9,1489262,644160,43.25
All,0-9,1704894,752236,44.12
1_Month,10-19,50727,25605,50.48
3_Month,10-19,218320,42266,19.36
6_Month,10-19,1045707,534533,51.12
1_Year,10-19,1387124,650742,46.91
All,10-19,1624093,796678,49.05
1_Month,20-29,63729,28168,44.2
3_Month,20-29,287239,46408,16.16
6_Month,20-29,916788,383218,41.8
1_Year,20-29,1222727,463506,37.91
All,20-29,1461282,583933,39.96
1_Month,30-39,75282,35340,46.94
3_Month,30-39,285734,60777,21.27
6_Month,30-39,906100,425274,46.93
1_Year,30-39,1165779,503042,43.15
All,30-39,1361354,587979,43.19
1_Month,40-49,76937,36342,47.24
3_Month,40-49,277255,61590,22.21
6_Month,40-49,831149,395771,47.62
1_Year,40-49,1045755,457981,43.79
All,40-49,1208793,531074,43.93
1_Month,50-59,70539,33941,48.12
3_Month,50-59,248270,56264,22.66
6_Month,50-59,648070,278406,42.96
1_Year,50-59,812772,313926,38.62
All,50-59,943458,369879,39.2
1_Month,60-69,74258,35756,48.15
3_Month,60-69,229324,58954,25.71
6_Month,60-69,542919,208984,38.49
1_Year,60-69,672336,231523,34.44
All,60-69,775119,269150,34.72
1_Month,70-79,67537,31508,46.65
3_Month,70-79,167019,50152,30.03
6_Month,70-79,350017,129951,37.13
1_Year,70-79,431622,142133,32.93
All,70-79,496960,162247,32.65
1_Month,80-89,38287,12694,33.15
3_Month,80-89,69196,19710,28.48
6_Month,80-89,132145,50255,38.03
1_Year,80-89,167203,55636,33.27
All,80-89,209196,66448,31.76
1_Month,90+,11995,2898,24.16
3_Month,90+,18165,4629,25.48
6_Month,90+,30915,12384,40.06
1_Year,90+,39647,13763,34.71
All,90+,54106,17359,32.08
