age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,323499,276182,1538337,21,18
20-29,950634,828133,1300361,73.1,63.7
30-39,929990,836249,1197026,77.7,69.9
40-49,905882,834171,1098556,82.5,75.9
50-59,741977,691227,849966,87.3,81.3
60-69,658411,625443,741639,88.8,84.3
70-79,477631,460415,490784,97.3,93.8
80-89,213523,204928,225538,94.7,90.9
90+,50183,47299,51496,97.5,91.8
