age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,239924,125757,1538337,15.6,8.2
20-29,731494,316028,1300361,56.3,24.3
30-39,763653,380340,1197026,63.8,31.8
40-49,798254,572288,1098556,72.7,52.1
50-59,672994,539902,849966,79.2,63.5
60-69,616726,551627,741639,83.2,74.4
70-79,456237,424564,490784,93,86.5
80-89,203389,187965,225538,90.2,83.3
90+,47799,43298,51496,92.8,84.1
