instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,37.5,27.7,2022-02-04T00:00:00.000Z
רבין ק. השרון,48.2,59.8,2022-02-04T00:00:00.000Z
וולפסון,55.7,71.7,2022-02-04T00:00:00.000Z
מאיר,56.5,78.4,2022-02-04T00:00:00.000Z
פוריה,56.4,68.5,2022-02-04T00:00:00.000Z
בני ציון,57,71.8,2022-02-04T00:00:00.000Z
המרכזי בעמק,58.1,59.4,2022-02-04T00:00:00.000Z
הכרמל,59.4,79.3,2022-02-04T00:00:00.000Z
"רמב""ם",66.7,78.8,2022-02-04T00:00:00.000Z
הדסה הר הצופים,66.7,85.8,2022-02-04T00:00:00.000Z
שמיר,70.7,72.5,2022-02-04T00:00:00.000Z
רבין ק. בילינסון,71.8,82.2,2022-02-04T00:00:00.000Z
ברזילי,71.4,75,2022-02-04T00:00:00.000Z
שערי צדק,71.3,103.5,2022-02-04T00:00:00.000Z
נהריה,72.6,80.4,2022-02-04T00:00:00.000Z
קפלן,82,82.9,2022-02-04T00:00:00.000Z
זיו צפת,84.4,64.8,2022-02-04T00:00:00.000Z
לניאדו,87.2,88.3,2022-02-04T00:00:00.000Z
הדסה עין כרם,89.3,93.5,2022-02-04T00:00:00.000Z
