section,female,male,period,order_period
0-9,"{'amount': 13, 'percentage': 0.2}","{'amount': 20, 'percentage': 0.4}",מתחילת קורונה,1
0-9,"{'amount': 5, 'percentage': 0.8}","{'amount': 6, 'percentage': 1}",חודש אחרון,5
0-9,"{'amount': 5, 'percentage': 0.7}","{'amount': 6, 'percentage': 0.8}",3 חודשים,4
0-9,"{'amount': 5, 'percentage': 0.3}","{'amount': 11, 'percentage': 0.7}",6 חודשים,3
0-9,"{'amount': 10, 'percentage': 0.4}","{'amount': 13, 'percentage': 0.5}",שנה,2
10-19,"{'amount': 7, 'percentage': 0.9}","{'amount': 4, 'percentage': 0.5}",3 חודשים,4
10-19,"{'amount': 14, 'percentage': 0.5}","{'amount': 11, 'percentage': 0.4}",שנה,2
10-19,"{'amount': 6, 'percentage': 1}","{'amount': 4, 'percentage': 0.7}",חודש אחרון,5
10-19,"{'amount': 19, 'percentage': 0.4}","{'amount': 19, 'percentage': 0.4}",מתחילת קורונה,1
10-19,"{'amount': 11, 'percentage': 0.7}","{'amount': 10, 'percentage': 0.6}",6 חודשים,3
20-29,"{'amount': 8, 'percentage': 1.3}","{'amount': 4, 'percentage': 0.7}",חודש אחרון,5
20-29,"{'amount': 16, 'percentage': 1}","{'amount': 17, 'percentage': 1.1}",6 חודשים,3
20-29,"{'amount': 11, 'percentage': 1.5}","{'amount': 6, 'percentage': 0.8}",3 חודשים,4
20-29,"{'amount': 54, 'percentage': 1}","{'amount': 47, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 31, 'percentage': 1.2}","{'amount': 36, 'percentage': 1.3}",שנה,2
30-39,"{'amount': 6, 'percentage': 1}","{'amount': 11, 'percentage': 1.8}",חודש אחרון,5
30-39,"{'amount': 10, 'percentage': 1.3}","{'amount': 14, 'percentage': 1.9}",3 חודשים,4
30-39,"{'amount': 28, 'percentage': 1.8}","{'amount': 30, 'percentage': 1.9}",6 חודשים,3
30-39,"{'amount': 62, 'percentage': 2.3}","{'amount': 53, 'percentage': 2}",שנה,2
30-39,"{'amount': 87, 'percentage': 1.6}","{'amount': 85, 'percentage': 1.6}",מתחילת קורונה,1
40-49,"{'amount': 80, 'percentage': 3}","{'amount': 143, 'percentage': 5.3}",שנה,2
40-49,"{'amount': 43, 'percentage': 2.7}","{'amount': 76, 'percentage': 4.8}",6 חודשים,3
40-49,"{'amount': 21, 'percentage': 2.8}","{'amount': 38, 'percentage': 5.1}",3 חודשים,4
40-49,"{'amount': 12, 'percentage': 2}","{'amount': 24, 'percentage': 4}",חודש אחרון,5
40-49,"{'amount': 134, 'percentage': 2.5}","{'amount': 230, 'percentage': 4.3}",מתחילת קורונה,1
50-59,"{'amount': 239, 'percentage': 4.5}","{'amount': 488, 'percentage': 9.1}",מתחילת קורונה,1
50-59,"{'amount': 36, 'percentage': 5.9}","{'amount': 45, 'percentage': 7.4}",חודש אחרון,5
50-59,"{'amount': 47, 'percentage': 6.3}","{'amount': 62, 'percentage': 8.3}",3 חודשים,4
50-59,"{'amount': 89, 'percentage': 5.7}","{'amount': 135, 'percentage': 8.6}",6 חודשים,3
50-59,"{'amount': 155, 'percentage': 5.8}","{'amount': 260, 'percentage': 9.7}",שנה,2
60-69,"{'amount': 61, 'percentage': 8.1}","{'amount': 86, 'percentage': 11.5}",3 חודשים,4
60-69,"{'amount': 442, 'percentage': 8.3}","{'amount': 829, 'percentage': 15.5}",מתחילת קורונה,1
60-69,"{'amount': 46, 'percentage': 7.6}","{'amount': 62, 'percentage': 10.2}",חודש אחרון,5
60-69,"{'amount': 156, 'percentage': 9.9}","{'amount': 195, 'percentage': 12.4}",6 חודשים,3
60-69,"{'amount': 258, 'percentage': 9.6}","{'amount': 356, 'percentage': 13.2}",שנה,2
70-79,"{'amount': 78, 'percentage': 10.4}","{'amount': 98, 'percentage': 13.1}",3 חודשים,4
70-79,"{'amount': 276, 'percentage': 10.3}","{'amount': 375, 'percentage': 13.9}",שנה,2
70-79,"{'amount': 63, 'percentage': 10.4}","{'amount': 87, 'percentage': 14.3}",חודש אחרון,5
70-79,"{'amount': 519, 'percentage': 9.7}","{'amount': 914, 'percentage': 17.1}",מתחילת קורונה,1
70-79,"{'amount': 161, 'percentage': 10.3}","{'amount': 221, 'percentage': 14.1}",6 חודשים,3
80-89,"{'amount': 135, 'percentage': 8.6}","{'amount': 157, 'percentage': 10}",6 חודשים,3
80-89,"{'amount': 66, 'percentage': 8.8}","{'amount': 83, 'percentage': 11.1}",3 חודשים,4
80-89,"{'amount': 61, 'percentage': 10}","{'amount': 77, 'percentage': 12.7}",חודש אחרון,5
80-89,"{'amount': 209, 'percentage': 7.8}","{'amount': 248, 'percentage': 9.2}",שנה,2
80-89,"{'amount': 410, 'percentage': 7.7}","{'amount': 561, 'percentage': 10.5}",מתחילת קורונה,1
90+,"{'amount': 52, 'percentage': 1.9}","{'amount': 49, 'percentage': 1.8}",שנה,2
90+,"{'amount': 41, 'percentage': 2.6}","{'amount': 33, 'percentage': 2.1}",6 חודשים,3
90+,"{'amount': 26, 'percentage': 3.5}","{'amount': 21, 'percentage': 2.8}",3 חודשים,4
90+,"{'amount': 23, 'percentage': 3.8}","{'amount': 21, 'percentage': 3.5}",חודש אחרון,5
90+,"{'amount': 116, 'percentage': 2.2}","{'amount': 117, 'percentage': 2.2}",מתחילת קורונה,1
