period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
3_Month,0-9,1124619,331375,29.47
All,0-9,1649386,569711,34.54
1_Year,0-9,1506795,490465,32.55
6_Month,0-9,1391828,448373,32.21
1_Month,0-9,1021533,314550,30.79
6_Month,10-19,1259395,466302,37.03
1_Month,10-19,883332,360600,40.82
All,10-19,1557051,625856,40.19
1_Year,10-19,1383173,504303,36.46
3_Month,10-19,1015528,380446,37.46
1_Month,20-29,616133,243507,39.52
1_Year,20-29,1165750,342570,29.39
3_Month,20-29,770273,253533,32.91
6_Month,20-29,1022390,312720,30.59
All,20-29,1342273,445884,33.22
3_Month,30-39,749839,256343,34.19
All,30-39,1234678,415077,33.62
1_Month,30-39,610894,246195,40.3
1_Year,30-39,1088365,341280,31.36
6_Month,30-39,964470,316550,32.82
All,40-49,1089453,362259,33.25
1_Year,40-49,959616,296386,30.89
6_Month,40-49,860024,277016,32.21
3_Month,40-49,686431,231892,33.78
1_Month,40-49,560415,222613,39.72
All,50-59,821683,238786,29.06
1_Year,50-59,710917,186919,26.29
6_Month,50-59,632249,173989,27.52
3_Month,50-59,496075,149248,30.09
1_Month,50-59,388636,144098,37.08
1_Month,60-69,307816,94675,30.76
3_Month,60-69,393066,98013,24.94
6_Month,60-69,502615,112545,22.39
1_Year,60-69,565613,121072,21.41
All,60-69,657542,156466,23.8
3_Month,70-79,230988,49383,21.38
1_Month,70-79,178042,47635,26.75
6_Month,70-79,301212,57025,18.93
1_Year,70-79,343920,61719,17.95
All,70-79,403445,80291,19.9
1_Month,80-89,72834,18499,25.4
3_Month,80-89,90065,19061,21.16
6_Month,80-89,117669,22832,19.4
1_Year,80-89,139361,25190,18.08
All,80-89,174675,35021,20.05
All,90+,46498,10162,21.85
1_Year,90+,35241,6823,19.36
6_Month,90+,29078,6146,21.14
3_Month,90+,22942,5156,22.47
1_Month,90+,19272,5024,26.07
