section,female,male,period,order_period
0-9,"{'amount': 52, 'percentage': 0.2}","{'amount': 85, 'percentage': 0.3}",מתחילת קורונה,1
0-9,"{'amount': 14, 'percentage': 0.4}","{'amount': 26, 'percentage': 0.8}",חודש אחרון,5
0-9,"{'amount': 17, 'percentage': 0.5}","{'amount': 27, 'percentage': 0.8}",3 חודשים,4
0-9,"{'amount': 30, 'percentage': 0.4}","{'amount': 53, 'percentage': 0.6}",6 חודשים,3
0-9,"{'amount': 42, 'percentage': 0.3}","{'amount': 65, 'percentage': 0.5}",שנה,2
10-19,"{'amount': 9, 'percentage': 0.3}","{'amount': 15, 'percentage': 0.4}",3 חודשים,4
10-19,"{'amount': 40, 'percentage': 0.3}","{'amount': 39, 'percentage': 0.3}",שנה,2
10-19,"{'amount': 7, 'percentage': 0.2}","{'amount': 12, 'percentage': 0.4}",חודש אחרון,5
10-19,"{'amount': 60, 'percentage': 0.2}","{'amount': 60, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 23, 'percentage': 0.3}","{'amount': 28, 'percentage': 0.3}",6 חודשים,3
20-29,"{'amount': 14, 'percentage': 0.4}","{'amount': 20, 'percentage': 0.6}",חודש אחרון,5
20-29,"{'amount': 83, 'percentage': 1}","{'amount': 68, 'percentage': 0.8}",6 חודשים,3
20-29,"{'amount': 22, 'percentage': 0.6}","{'amount': 23, 'percentage': 0.7}",3 חודשים,4
20-29,"{'amount': 244, 'percentage': 1}","{'amount': 203, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 152, 'percentage': 1.2}","{'amount': 139, 'percentage': 1.1}",שנה,2
30-39,"{'amount': 30, 'percentage': 0.9}","{'amount': 26, 'percentage': 0.8}",חודש אחרון,5
30-39,"{'amount': 43, 'percentage': 1.2}","{'amount': 36, 'percentage': 1}",3 חודשים,4
30-39,"{'amount': 182, 'percentage': 2.2}","{'amount': 177, 'percentage': 2.1}",6 חודשים,3
30-39,"{'amount': 353, 'percentage': 2.7}","{'amount': 343, 'percentage': 2.6}",שנה,2
30-39,"{'amount': 529, 'percentage': 2.1}","{'amount': 555, 'percentage': 2.2}",מתחילת קורונה,1
40-49,"{'amount': 518, 'percentage': 3.9}","{'amount': 704, 'percentage': 5.3}",שנה,2
40-49,"{'amount': 275, 'percentage': 3.3}","{'amount': 365, 'percentage': 4.4}",6 חודשים,3
40-49,"{'amount': 54, 'percentage': 1.5}","{'amount': 84, 'percentage': 2.4}",3 חודשים,4
40-49,"{'amount': 42, 'percentage': 1.3}","{'amount': 62, 'percentage': 1.9}",חודש אחרון,5
40-49,"{'amount': 861, 'percentage': 3.4}","{'amount': 1274, 'percentage': 5}",מתחילת קורונה,1
50-59,"{'amount': 1433, 'percentage': 5.6}","{'amount': 2071, 'percentage': 8.1}",מתחילת קורונה,1
50-59,"{'amount': 111, 'percentage': 3.5}","{'amount': 149, 'percentage': 4.7}",חודש אחרון,5
50-59,"{'amount': 129, 'percentage': 3.7}","{'amount': 168, 'percentage': 4.8}",3 חודשים,4
50-59,"{'amount': 418, 'percentage': 5.1}","{'amount': 557, 'percentage': 6.7}",6 חודשים,3
50-59,"{'amount': 779, 'percentage': 5.9}","{'amount': 1000, 'percentage': 7.6}",שנה,2
60-69,"{'amount': 217, 'percentage': 6.1}","{'amount': 322, 'percentage': 9.1}",3 חודשים,4
60-69,"{'amount': 1986, 'percentage': 7.8}","{'amount': 2955, 'percentage': 11.5}",מתחילת קורונה,1
60-69,"{'amount': 187, 'percentage': 5.8}","{'amount': 289, 'percentage': 9}",חודש אחרון,5
60-69,"{'amount': 607, 'percentage': 7.3}","{'amount': 830, 'percentage': 10}",6 חודשים,3
60-69,"{'amount': 1023, 'percentage': 7.8}","{'amount': 1326, 'percentage': 10.1}",שנה,2
70-79,"{'amount': 379, 'percentage': 10.7}","{'amount': 479, 'percentage': 13.6}",3 חודשים,4
70-79,"{'amount': 1267, 'percentage': 9.6}","{'amount': 1517, 'percentage': 11.5}",שנה,2
70-79,"{'amount': 339, 'percentage': 10.6}","{'amount': 447, 'percentage': 14}",חודש אחרון,5
70-79,"{'amount': 2423, 'percentage': 9.5}","{'amount': 3296, 'percentage': 12.9}",מתחילת קורונה,1
70-79,"{'amount': 808, 'percentage': 9.8}","{'amount': 1006, 'percentage': 12.2}",6 חודשים,3
80-89,"{'amount': 999, 'percentage': 12.1}","{'amount': 963, 'percentage': 11.7}",6 חודשים,3
80-89,"{'amount': 541, 'percentage': 15.3}","{'amount': 518, 'percentage': 14.7}",3 חודשים,4
80-89,"{'amount': 510, 'percentage': 15.9}","{'amount': 493, 'percentage': 15.4}",חודש אחרון,5
80-89,"{'amount': 1454, 'percentage': 11}","{'amount': 1350, 'percentage': 10.2}",שנה,2
80-89,"{'amount': 2709, 'percentage': 10.6}","{'amount': 2637, 'percentage': 10.3}",מתחילת קורונה,1
90+,"{'amount': 663, 'percentage': 5}","{'amount': 414, 'percentage': 3.1}",שנה,2
90+,"{'amount': 492, 'percentage': 6}","{'amount': 299, 'percentage': 3.6}",6 חודשים,3
90+,"{'amount': 269, 'percentage': 7.6}","{'amount': 179, 'percentage': 5.1}",3 חודשים,4
90+,"{'amount': 251, 'percentage': 7.8}","{'amount': 174, 'percentage': 5.4}",חודש אחרון,5
90+,"{'amount': 1312, 'percentage': 5.1}","{'amount': 843, 'percentage': 3.3}",מתחילת קורונה,1
