city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands
ירושלים,114893,9443,5006,45760,99
בני ברק,45223,3333,1775,13652,163
תל אביב - יפו,21659,2633,1587,27199,57
פתח תקווה,18465,2256,1331,18698,91
מודיעין עילית,23659,2120,1148,7961,267
אשדוד,22284,1987,1185,16425,88
בית שמש,18343,1623,882,7577,121
ראשון לציון,11799,1524,919,16064,62
חולון,11933,1442,923,12677,77
נתניה,13170,1380,785,13443,64
באר שבע,11588,1188,737,15007,60
אשקלון,8816,1147,734,10803,80
רמלה,7707,1104,712,6583,144
חיפה,14085,1104,629,14038,41
בת ים,7618,1086,665,8508,85
רחובות,9364,1041,604,9210,74
נתיבות,5796,1038,667,4821,257
קרית גת,5983,910,598,5483,154
לוד,7044,863,556,5101,108
רמת גן,6716,820,480,8819,55
ביתר עילית,12220,804,477,2587,126
צפת,4062,799,525,2973,220
אלעד,10769,715,379,2851,149
חדרה,5352,588,385,5501,61
קרית אתא,3943,567,359,4798,98
קרית מלאכי,3218,548,343,2512,219
ראש העין,4527,519,331,5422,80
נצרת,7566,491,240,1985,62
אופקים,3423,462,264,3343,138
יבנה,3590,462,279,3878,95
מודיעין-מכבים-רעות,4301,423,211,6179,48
אור יהודה,3605,414,240,2696,120
עפולה,3141,356,270,3631,64
טבריה,3686,354,235,2308,77
אילת,1845,344,198,5119,61
עכו,3324,343,219,3260,67
הוד השרון,2338,323,185,4115,53
רעננה,3366,321,167,4109,42
כפר סבא,3435,321,172,5088,33
הרצליה,3478,319,171,5421,34
טייבה,3589,319,218,1542,72
מעלה אדומים,3246,308,175,2752,83
נהריה,2839,307,184,3580,51
גבעת זאב,3399,299,144,1397,151
שדרות,2099,270,156,2323,95
פרדס חנה-כרכור,1880,238,144,2952,57
נס ציונה,2025,237,136,3305,52
גדרה,1511,231,149,2247,91
דימונה,1808,224,119,2646,62
אום אל-פחם,4816,217,139,1111,38
רכסים,2838,215,123,1063,166
מבשרת ציון,1699,204,82,1779,87
שפרעם,3631,196,109,1330,47
גבעתיים,1755,194,106,3131,35
באר יעקב,1853,189,121,1815,70
כרמיאל,2215,188,86,2421,41
חצור הגלילית,1266,188,136,981,186
קרית מוצקין,1983,183,95,2474,40
זכרון יעקב,1225,179,93,1463,79
נוף הגליל,2279,179,98,2152,40
קרית ביאליק,1879,177,100,2415,44
קרית ים,1909,174,108,2496,45
קדימה-צורן,986,170,104,1632,81
כפר קאסם,2827,168,112,798,69
חריש,1017,168,108,958,82
קרית אונו,1514,168,109,2072,45
בית שאן,1415,167,100,1481,84
גן יבנה,1414,165,89,1614,73
מגאר,1641,165,97,1223,72
יהוד,1683,163,88,2097,56
ג'דיידה-מכר,1682,161,108,1077,77
כפר יונה,1160,155,105,1687,64
"כפר חב""ד",1148,153,87,785,219
גבעת שמואל,1544,152,92,2011,59
קרית שמונה,1261,151,102,1441,68
באקה אל-גרביה,2256,150,97,837,50
עראבה,1875,148,95,882,55
רמת השרון,1660,145,81,2473,32
טירת כרמל,1149,142,91,1545,59
כוכב יעקב,1693,139,64,661,151
אור עקיבא,1367,136,74,1096,68
טמרה,3550,136,81,898,39
סח'נין,3988,136,80,967,41
יקנעם עילית,954,135,81,1492,58
בית ג'ן,1647,134,68,908,111
יפיע,1777,131,66,472,67
גני תקווה,1096,130,81,1451,62
יאנוח-ג'ת,888,128,95,745,192
מעלות-תרשיחא,1207,127,74,1394,55
ריינה,1325,126,74,506,75
מגדל העמק,1705,126,86,1392,48
אריאל,846,119,60,1400,65
דאלית אל-כרמל,2057,114,60,595,65
ירכא,1838,109,69,653,69
עמנואל,591,106,63,288,238
אבו גוש,1021,106,75,586,130
תפרח,656,103,35,360,461
אפרת,895,102,71,1128,85
כפר כנא,2037,100,52,424,43
אזור,914,100,68,912,82
רהט,2872,96,65,1096,14
דייר חנא,1217,96,55,423,89
קרית יערים,1333,96,53,416,150
קרית עקרון,668,96,69,839,90
מעלה עירון,1599,96,57,425,62
מזכרת בתיה,667,93,69,1228,61
עספיא,1241,92,54,524,74
אבו סנאן,1066,87,69,561,64
עין מאהל,1462,87,45,322,63
שוהם,983,86,46,1512,43
קרני שומרון,506,86,56,854,89
קרית ארבע,624,86,57,726,117
יד בנימין,573,86,48,605,201
עין נקובא,452,85,55,285,238
ערד,2031,83,43,1157,30
פקיעין (בוקייעה),857,83,48,510,139
כעביה-טבאש-חג'אג'רה,448,82,46,315,137
מג'ד אל-כרום,1987,81,36,335,52
אלון שבות,324,78, 11-14 ,452,240
טירה,2301,76,38,675,28
גבע בנימין,552,74,44,453,135
ערערה,1583,74,48,537,37
טובא-זנגריה,348,71,49,308,103
ראמה,780,71,38,381,85
אבן יהודה,537,71,25,956,53
צור הדסה,605,71,46,721,73
אכסאל,1280,69,57,396,46
"בסמ""ה",751,68,51,354,62
כפר יאסיף,778,68,43,449,63
ביר אל-מכסור,465,68,47,298,66
נשר,840,66,36,1077,30
קלנסווה,2281,65,43,594,28
דבוריה,1002,63,39,451,59
"בני עי""ש",351,61,50,604,91
שבלי - אום אל-גנם,478,60,37,279,92
כסרא-סמיע,680,60,49,323,68
נחף,1081,60,39,279,44
