name,value
פסיכולוגיה,5
פראמדיקים,10
קלינאות תקשורת,12
שירות סוציאלי,15
ריפוי בעיסוק,18
פיזיותרפיה,24
מעבדה,32
רוקחות,39
מערך לוגיסטי,55
חובשי רפואת חירום,98
כוח עזר,118
מינהל ומשק,500
סקטורים אחרים,879
