age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,203,1780,0,63.3,689.7,0,0,1,0,0,0.4
16-19,46,662,863,27.3,250.2,667.8,0,0,1,0,0,0.8
20-29,145,1764,1572,29.7,324.6,679.2,1,2,11,0.2,0.4,4.8
30-39,227,1697,1541,42.1,371.1,927.9,0,1,23,0,0.2,13.8
40-49,246,1135,1071,40,339.4,839.6,1,6,59,0.2,1.8,46.3
50-59,173,599,643,31.3,281.1,732.3,5,12,78,0.9,5.6,88.8
60-69,166,332,408,30.1,270.9,657.3,10,20,71,1.8,16.3,114.4
70-79,150,182,255,36.2,281.2,599.2,9,16,55,2.2,24.7,129.2
80-89,100,95,155,55.7,275.3,749.8,5,11,29,2.8,31.9,140.3
90+,33,21,37,89.9,172.7,463.2,0,2,14,0,16.5,175.3
