period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,10552,861,8.16
3_Month,0-9,20829,2877,13.81
6_Month,0-9,63570,17696,27.84
1_Year,0-9,1094167,494460,45.19
All,0-9,1717030,768129,44.74
1_Month,10-19,12472,2331,18.69
3_Month,10-19,28608,7586,26.52
6_Month,10-19,73485,20131,27.39
1_Year,10-19,975296,503236,51.6
All,10-19,1632639,811459,49.7
1_Month,20-29,18876,4003,21.21
3_Month,20-29,42842,11436,26.69
6_Month,20-29,105091,31175,29.66
1_Year,20-29,899543,376808,41.89
All,20-29,1479797,609982,41.22
1_Month,30-39,17541,4110,23.43
3_Month,30-39,41030,12140,29.59
6_Month,30-39,107459,36401,33.87
1_Year,30-39,895763,430946,48.11
All,30-39,1376741,618498,44.92
1_Month,40-49,17894,4473,25
3_Month,40-49,42570,13618,31.99
6_Month,40-49,105623,37954,35.93
1_Year,40-49,823381,405385,49.23
All,40-49,1223495,562943,46.01
1_Month,50-59,18423,4541,24.65
3_Month,50-59,43607,14074,32.27
6_Month,50-59,102250,38075,37.24
1_Year,50-59,654667,300038,45.83
All,50-59,959220,404715,42.19
1_Month,60-69,20711,4858,23.46
3_Month,60-69,49437,15477,31.31
6_Month,60-69,113401,43611,38.46
1_Year,60-69,559006,242432,43.37
All,60-69,793697,312156,39.33
1_Month,70-79,23143,4736,20.46
3_Month,70-79,51647,15204,29.44
6_Month,70-79,109551,42467,38.76
1_Year,70-79,378706,168672,44.54
All,70-79,520438,205860,39.56
1_Month,80-89,20383,2885,14.15
3_Month,80-89,36961,8349,22.59
6_Month,80-89,63600,21362,33.59
1_Year,80-89,151196,70612,46.7
All,80-89,223723,87999,39.33
1_Month,90+,7347,862,11.73
3_Month,90+,12643,2451,19.39
6_Month,90+,19540,5861,29.99
1_Year,90+,36954,17780,48.11
All,90+,59154,22994,38.87
