period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,52994,26814,50.6
3_Month,0-9,185065,44833,24.23
6_Month,0-9,872607,398563,45.67
1_Year,0-9,1484798,650161,43.79
All,0-9,1707303,759777,44.5
1_Month,10-19,50042,23489,46.94
3_Month,10-19,193060,44318,22.96
6_Month,10-19,782450,384578,49.15
1_Year,10-19,1380213,654773,47.44
All,10-19,1625637,801873,49.33
1_Month,20-29,66938,30804,46.02
3_Month,20-29,260178,51487,19.79
6_Month,20-29,761214,285755,37.54
1_Year,20-29,1218214,472525,38.79
All,20-29,1464498,593202,40.51
1_Month,30-39,80360,38794,48.28
3_Month,30-39,259986,65034,25.01
6_Month,30-39,769087,338698,44.04
1_Year,30-39,1161592,514135,44.26
All,30-39,1364501,599380,43.93
1_Month,40-49,79855,38521,48.24
3_Month,40-49,249624,66002,26.44
6_Month,40-49,712136,318129,44.67
1_Year,40-49,1041896,468979,45.01
All,40-49,1211958,542561,44.77
1_Month,50-59,72917,35943,49.29
3_Month,50-59,225753,61554,27.27
6_Month,50-59,571860,233376,40.81
1_Year,50-59,810992,325605,40.15
All,50-59,946843,381632,40.31
1_Month,60-69,77717,38739,49.85
3_Month,60-69,214190,65712,30.68
6_Month,60-69,484973,182542,37.64
1_Year,60-69,672478,245151,36.45
All,60-69,779209,283001,36.32
1_Month,70-79,70575,33831,47.94
3_Month,70-79,161924,57420,35.46
6_Month,70-79,322167,121713,37.78
1_Year,70-79,434422,154649,35.6
All,70-79,502003,174943,34.85
1_Month,80-89,41083,14977,36.46
3_Month,80-89,69750,23627,33.87
6_Month,80-89,123918,48753,39.34
1_Year,80-89,169268,61625,36.41
All,80-89,212196,72431,34.13
1_Month,90+,12563,3683,29.32
3_Month,90+,18480,5591,30.25
6_Month,90+,29411,11929,40.56
1_Year,90+,40162,15245,37.96
All,90+,54966,18833,34.26
