section,male,female,period
0-9,"{'amount': 4, 'percentage': 0.7}","{'amount': 2, 'percentage': 0.3}",חודש אחרון
0-9,"{'amount': 128, 'percentage': 0.4}","{'amount': 80, 'percentage': 0.2}",מתחילת קורונה
0-9,"{'amount': 10, 'percentage': 0.3}","{'amount': 6, 'percentage': 0.2}",6 חודשים
0-9,"{'amount': 4, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.2}",3 חודשים
0-9,"{'amount': 69, 'percentage': 0.6}","{'amount': 43, 'percentage': 0.4}",שנה
10-19,"{'amount': 5, 'percentage': 0.2}","{'amount': 6, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 2, 'percentage': 0.3}","{'amount': 1, 'percentage': 0.2}",חודש אחרון
10-19,"{'amount': 83, 'percentage': 0.3}","{'amount': 83, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 2, 'percentage': 0.2}","{'amount': 3, 'percentage': 0.3}",3 חודשים
10-19,"{'amount': 29, 'percentage': 0.3}","{'amount': 21, 'percentage': 0.2}",שנה
20-29,"{'amount': 10, 'percentage': 0.3}","{'amount': 10, 'percentage': 0.3}",6 חודשים
20-29,"{'amount': 4, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.2}",3 חודשים
20-29,"{'amount': 3, 'percentage': 0.5}","{'amount': 2, 'percentage': 0.3}",חודש אחרון
20-29,"{'amount': 254, 'percentage': 0.8}","{'amount': 286, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 50, 'percentage': 0.5}","{'amount': 37, 'percentage': 0.3}",שנה
30-39,"{'amount': 7, 'percentage': 1.2}","{'amount': 4, 'percentage': 0.7}",חודש אחרון
30-39,"{'amount': 649, 'percentage': 2}","{'amount': 611, 'percentage': 1.9}",מתחילת קורונה
30-39,"{'amount': 19, 'percentage': 0.6}","{'amount': 16, 'percentage': 0.5}",6 חודשים
30-39,"{'amount': 7, 'percentage': 0.6}","{'amount': 10, 'percentage': 0.9}",3 חודשים
30-39,"{'amount': 81, 'percentage': 0.8}","{'amount': 80, 'percentage': 0.7}",שנה
40-49,"{'amount': 7, 'percentage': 1.2}","{'amount': 2, 'percentage': 0.3}",חודש אחרון
40-49,"{'amount': 1445, 'percentage': 4.4}","{'amount': 988, 'percentage': 3}",מתחילת קורונה
40-49,"{'amount': 33, 'percentage': 1}","{'amount': 21, 'percentage': 0.7}",6 חודשים
40-49,"{'amount': 12, 'percentage': 1.1}","{'amount': 4, 'percentage': 0.4}",3 חודשים
40-49,"{'amount': 174, 'percentage': 1.6}","{'amount': 107, 'percentage': 1}",שנה
50-59,"{'amount': 15, 'percentage': 2.5}","{'amount': 8, 'percentage': 1.4}",חודש אחרון
50-59,"{'amount': 2331, 'percentage': 7.1}","{'amount': 1642, 'percentage': 5}",מתחילת קורונה
50-59,"{'amount': 92, 'percentage': 2.9}","{'amount': 59, 'percentage': 1.8}",6 חודשים
50-59,"{'amount': 30, 'percentage': 2.7}","{'amount': 19, 'percentage': 1.7}",3 חודשים
50-59,"{'amount': 398, 'percentage': 3.7}","{'amount': 271, 'percentage': 2.5}",שנה
60-69,"{'amount': 78, 'percentage': 7.1}","{'amount': 41, 'percentage': 3.8}",3 חודשים
60-69,"{'amount': 45, 'percentage': 7.6}","{'amount': 23, 'percentage': 3.9}",חודש אחרון
60-69,"{'amount': 3579, 'percentage': 10.9}","{'amount': 2397, 'percentage': 7.3}",מתחילת קורונה
60-69,"{'amount': 245, 'percentage': 7.6}","{'amount': 145, 'percentage': 4.5}",6 חודשים
60-69,"{'amount': 896, 'percentage': 8.4}","{'amount': 599, 'percentage': 5.6}",שנה
70-79,"{'amount': 93, 'percentage': 15.7}","{'amount': 75, 'percentage': 12.7}",חודש אחרון
70-79,"{'amount': 4251, 'percentage': 12.9}","{'amount': 3243, 'percentage': 9.9}",מתחילת קורונה
70-79,"{'amount': 470, 'percentage': 14.7}","{'amount': 385, 'percentage': 12}",6 חודשים
70-79,"{'amount': 175, 'percentage': 16}","{'amount': 138, 'percentage': 12.6}",3 חודשים
70-79,"{'amount': 1528, 'percentage': 14.3}","{'amount': 1164, 'percentage': 10.9}",שנה
80-89,"{'amount': 549, 'percentage': 17.1}","{'amount': 549, 'percentage': 17.1}",6 חודשים
80-89,"{'amount': 97, 'percentage': 16.4}","{'amount': 100, 'percentage': 16.9}",חודש אחרון
80-89,"{'amount': 3737, 'percentage': 11.4}","{'amount': 3828, 'percentage': 11.6}",מתחילת קורונה
80-89,"{'amount': 189, 'percentage': 17.3}","{'amount': 185, 'percentage': 16.9}",3 חודשים
80-89,"{'amount': 1697, 'percentage': 15.9}","{'amount': 1725, 'percentage': 16.2}",שנה
90+,"{'amount': 222, 'percentage': 6.9}","{'amount': 351, 'percentage': 11}",6 חודשים
90+,"{'amount': 45, 'percentage': 7.6}","{'amount': 57, 'percentage': 9.6}",חודש אחרון
90+,"{'amount': 1323, 'percentage': 4}","{'amount': 1964, 'percentage': 6}",מתחילת קורונה
90+,"{'amount': 719, 'percentage': 6.7}","{'amount': 993, 'percentage': 9.3}",שנה
90+,"{'amount': 83, 'percentage': 7.6}","{'amount': 105, 'percentage': 9.6}",3 חודשים
