cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
אבו גוש,קטן מ-15,אין מידע,26,33.07,3.94,ירוק,7862
אבו סנאן,קטן מ-15,אין מידע,22,15.38,5.49,צהוב,14306
אבן יהודה,קטן מ-15,אין מידע,30,21.37,6.36,כתום,14036
אום אל-פחם,קטן מ-15,אין מידע,16,2.82,4.59,צהוב,56713
אופקים,קטן מ-15,אין מידע,49,15.13,5.98,צהוב,32378
אור יהודה,קטן מ-15,אין מידע,48,13.12,5.23,צהוב,36587
אור עקיבא,קטן מ-15,אין מידע,31,15.97,4.88,צהוב,19417
אורנית,קטן מ-15,אין מידע,24,26.64,6.29,כתום,9010
אזור,קטן מ-15,אין מידע,20,15.12,5.87,צהוב,13228
אילת,17,16.04,106,20.19,5.64,צהוב,52507
אלפי מנשה,קטן מ-15,אין מידע,20,24.97,6.54,כתום,8011
אריאל,קטן מ-15,אין מידע,28,13.67,5.49,צהוב,20488
אשדוד,76,20.27,375,16.57,5.41,צהוב,226329
אשקלון,72,21.88,329,22.47,5.4,צהוב,146442
באקה אל-גרביה,קטן מ-15,אין מידע,20,6.57,4.2,ירוק,30448
באר יעקב,18,30.00,60,20.82,5.94,צהוב,28818
באר שבע,130,21.81,596,28.30,6.27,כתום,210624
בית שאן,קטן מ-15,אין מידע,30,15.81,3.58,ירוק,18980
בית שמש,18,23.68,76,5.75,4.13,ירוק,132210
בני ברק,קטן מ-15,אין מידע,54,2.60,2.57,ירוק,208031
"בני עי""ש",קטן מ-15,אין מידע,18,26.08,7.32,כתום,6902
בנימינה-גבעת עדה,17,39.53,43,26.92,6.8,כתום,15971
בת ים,25,11.52,217,16.98,4.87,צהוב,127772
גבעת זאב,קטן מ-15,אין מידע,24,12.50,6.2,כתום,19205
גבעת שמואל,16,25.81,62,22.76,6.09,כתום,27236
גבעתיים,16,12.40,129,21.19,5.7,צהוב,60872
גדרה,36,34.29,105,36.45,6.95,כתום,28805
גן יבנה,קטן מ-15,אין מידע,34,14.23,5.61,צהוב,23887
גני תקווה,קטן מ-15,אין מידע,67,31.15,6.44,כתום,21508
