section,male,female,period
0-9,"{'amount': 23, 'percentage': 1}","{'amount': 8, 'percentage': 0.3}",שנה
0-9,"{'amount': 1, 'percentage': 0.7}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 17, 'percentage': 1.2}","{'amount': 8, 'percentage': 0.6}",6 חודשים
0-9,"{'amount': 8, 'percentage': 1.2}","{'amount': 4, 'percentage': 0.6}",3 חודשים
0-9,"{'amount': 31, 'percentage': 0.5}","{'amount': 15, 'percentage': 0.2}",מתחילת קורונה
10-19,"{'amount': 14, 'percentage': 0.6}","{'amount': 16, 'percentage': 0.7}",שנה
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 24, 'percentage': 0.4}",מתחילת קורונה
10-19,"{'amount': 9, 'percentage': 0.6}","{'amount': 10, 'percentage': 0.7}",6 חודשים
10-19,"{'amount': 4, 'percentage': 0.6}","{'amount': 3, 'percentage': 0.4}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 1.3}",חודש אחרון
20-29,"{'amount': 22, 'percentage': 0.9}","{'amount': 20, 'percentage': 0.8}",שנה
20-29,"{'amount': 5, 'percentage': 0.7}","{'amount': 1, 'percentage': 0.1}",3 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.7}",חודש אחרון
20-29,"{'amount': 11, 'percentage': 0.8}","{'amount': 14, 'percentage': 1}",6 חודשים
20-29,"{'amount': 54, 'percentage': 0.9}","{'amount': 57, 'percentage': 0.9}",מתחילת קורונה
30-39,"{'amount': 48, 'percentage': 2}","{'amount': 38, 'percentage': 1.6}",שנה
30-39,"{'amount': 4, 'percentage': 2.7}","{'amount': 3, 'percentage': 2}",חודש אחרון
30-39,"{'amount': 29, 'percentage': 2.1}","{'amount': 18, 'percentage': 1.3}",6 חודשים
30-39,"{'amount': 20, 'percentage': 3}","{'amount': 12, 'percentage': 1.8}",3 חודשים
30-39,"{'amount': 102, 'percentage': 1.7}","{'amount': 105, 'percentage': 1.7}",מתחילת קורונה
40-49,"{'amount': 105, 'percentage': 4.4}","{'amount': 51, 'percentage': 2.1}",שנה
40-49,"{'amount': 5, 'percentage': 3.3}","{'amount': 5, 'percentage': 3.3}",חודש אחרון
40-49,"{'amount': 54, 'percentage': 3.8}","{'amount': 22, 'percentage': 1.6}",6 חודשים
40-49,"{'amount': 18, 'percentage': 2.7}","{'amount': 9, 'percentage': 1.3}",3 חודשים
40-49,"{'amount': 261, 'percentage': 4.3}","{'amount': 139, 'percentage': 2.3}",מתחילת קורונה
50-59,"{'amount': 194, 'percentage': 8.1}","{'amount': 113, 'percentage': 4.7}",שנה
50-59,"{'amount': 110, 'percentage': 7.8}","{'amount': 59, 'percentage': 4.2}",6 חודשים
50-59,"{'amount': 17, 'percentage': 11.3}","{'amount': 5, 'percentage': 3.3}",חודש אחרון
50-59,"{'amount': 546, 'percentage': 9.1}","{'amount': 255, 'percentage': 4.2}",מתחילת קורונה
50-59,"{'amount': 55, 'percentage': 8.2}","{'amount': 19, 'percentage': 2.8}",3 חודשים
60-69,"{'amount': 296, 'percentage': 12.4}","{'amount': 209, 'percentage': 8.8}",שנה
60-69,"{'amount': 19, 'percentage': 12.7}","{'amount': 12, 'percentage': 8}",חודש אחרון
60-69,"{'amount': 168, 'percentage': 11.9}","{'amount': 98, 'percentage': 7}",6 חודשים
60-69,"{'amount': 94, 'percentage': 14}","{'amount': 55, 'percentage': 8.2}",3 חודשים
60-69,"{'amount': 925, 'percentage': 15.3}","{'amount': 503, 'percentage': 8.3}",מתחילת קורונה
70-79,"{'amount': 224, 'percentage': 15.9}","{'amount': 145, 'percentage': 10.3}",6 חודשים
70-79,"{'amount': 366, 'percentage': 15.4}","{'amount': 248, 'percentage': 10.4}",שנה
70-79,"{'amount': 1018, 'percentage': 16.9}","{'amount': 582, 'percentage': 9.6}",מתחילת קורונה
70-79,"{'amount': 114, 'percentage': 16.9}","{'amount': 66, 'percentage': 9.8}",3 חודשים
70-79,"{'amount': 28, 'percentage': 18.7}","{'amount': 15, 'percentage': 10}",חודש אחרון
80-89,"{'amount': 262, 'percentage': 11}","{'amount': 222, 'percentage': 9.3}",שנה
80-89,"{'amount': 177, 'percentage': 12.6}","{'amount': 142, 'percentage': 10.1}",6 חודשים
80-89,"{'amount': 83, 'percentage': 12.3}","{'amount': 65, 'percentage': 9.7}",3 חודשים
80-89,"{'amount': 17, 'percentage': 11.3}","{'amount': 8, 'percentage': 5.3}",חודש אחרון
80-89,"{'amount': 637, 'percentage': 10.6}","{'amount': 476, 'percentage': 7.9}",מתחילת קורונה
90+,"{'amount': 63, 'percentage': 2.6}","{'amount': 65, 'percentage': 2.7}",שנה
90+,"{'amount': 46, 'percentage': 3.3}","{'amount': 48, 'percentage': 3.4}",6 חודשים
90+,"{'amount': 18, 'percentage': 2.7}","{'amount': 20, 'percentage': 3}",3 חודשים
90+,"{'amount': 3, 'percentage': 2}","{'amount': 5, 'percentage': 3.3}",חודש אחרון
90+,"{'amount': 141, 'percentage': 2.3}","{'amount': 138, 'percentage': 2.3}",מתחילת קורונה
