instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,68.8,44.6,2022-03-21T00:00:00.000Z
סורוקה,72.5,76,2022-03-21T00:00:00.000Z
הכרמל,75.5,74,2022-03-21T00:00:00.000Z
הדסה הר הצופים,77.8,91.3,2022-03-21T00:00:00.000Z
פוריה,78.2,71.3,2022-03-21T00:00:00.000Z
מאיר,79.5,91.6,2022-03-21T00:00:00.000Z
וולפסון,81.1,77.7,2022-03-21T00:00:00.000Z
זיו צפת,84.4,76.9,2022-03-21T00:00:00.000Z
שמיר,88,77.2,2022-03-21T00:00:00.000Z
בני ציון,89.3,85.2,2022-03-21T00:00:00.000Z
המרכזי בעמק,89.7,73.6,2022-03-21T00:00:00.000Z
קפלן,93.3,92.6,2022-03-21T00:00:00.000Z
לניאדו,96.2,83.3,2022-03-21T00:00:00.000Z
"רמב""ם",98.5,88.6,2022-03-21T00:00:00.000Z
שיבא,104.6,105.9,2022-03-21T00:00:00.000Z
ברזילי,108.9,86.3,2022-03-21T00:00:00.000Z
נהריה,110,91.5,2022-03-21T00:00:00.000Z
רבין ק. בילינסון,110.1,93.3,2022-03-21T00:00:00.000Z
הלל יפה,116.4,90.1,2022-03-21T00:00:00.000Z
אסותא אשדוד,127.1,107.8,2022-03-21T00:00:00.000Z
הדסה עין כרם,131.1,97.9,2022-03-21T00:00:00.000Z
