instituteDesc,occupancy,gOccupancy,occupancyDate
הכרמל,54.7,77.1,2022-02-20T00:00:00.000Z
פוריה,57.7,66.2,2022-02-20T00:00:00.000Z
וולפסון,63.5,77.5,2022-02-20T00:00:00.000Z
רבין ק. השרון,65.8,66.4,2022-02-20T00:00:00.000Z
הדסה הר הצופים,69.4,81.3,2022-02-20T00:00:00.000Z
סורוקה,74.4,76.4,2022-02-20T00:00:00.000Z
בני ציון,77.7,84.8,2022-02-20T00:00:00.000Z
המרכזי בעמק,80.6,74.6,2022-02-20T00:00:00.000Z
שמיר,86.5,72.5,2022-02-20T00:00:00.000Z
יוספטל,87.5,36.9,2022-02-20T00:00:00.000Z
ברזילי,89.6,79,2022-02-20T00:00:00.000Z
שערי צדק,91.3,100,2022-02-20T00:00:00.000Z
"רמב""ם",97.5,89.5,2022-02-20T00:00:00.000Z
נהריה,99.5,81.2,2022-02-20T00:00:00.000Z
רבין ק. בילינסון,99.1,88.6,2022-02-20T00:00:00.000Z
מאיר,100,91.4,2022-02-20T00:00:00.000Z
הדסה עין כרם,101.9,95.1,2022-02-20T00:00:00.000Z
לניאדו,101.3,90.5,2022-02-20T00:00:00.000Z
זיו צפת,109.4,76.7,2022-02-20T00:00:00.000Z
קפלן,110,104.9,2022-02-20T00:00:00.000Z
