period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
3_Month,0-9,1147068,427894,37.3
All,0-9,1662993,661890,39.8
1_Year,0-9,1507270,571021,37.88
6_Month,0-9,1379626,526982,38.2
1_Month,0-9,733848,305128,41.58
6_Month,10-19,1247178,537977,43.14
1_Month,10-19,584604,293867,50.27
All,10-19,1571371,706659,44.97
1_Year,10-19,1380384,574386,41.61
3_Month,10-19,1044153,466369,44.66
1_Month,20-29,440143,181366,41.21
1_Year,20-29,1170370,376098,32.13
3_Month,20-29,796384,300073,37.68
6_Month,20-29,1016940,347317,34.15
All,20-29,1360519,489218,35.96
3_Month,30-39,778345,318551,40.93
All,30-39,1253486,473689,37.79
1_Month,30-39,468006,211828,45.26
1_Year,30-39,1098963,393800,35.83
6_Month,30-39,966872,366787,37.94
All,40-49,1109620,417900,37.66
1_Year,40-49,973522,347787,35.72
6_Month,40-49,865586,324749,37.52
3_Month,40-49,715897,290332,40.55
1_Month,40-49,436797,192461,44.06
All,50-59,840481,273543,32.55
1_Year,50-59,724958,218609,30.15
6_Month,50-59,639036,202972,31.76
3_Month,50-59,517905,185661,35.85
1_Month,50-59,309485,124002,40.07
1_Month,60-69,244018,77710,31.85
3_Month,60-69,412416,121293,29.41
6_Month,60-69,511013,130718,25.58
1_Year,60-69,581588,142050,24.42
All,60-69,675012,178936,26.51
3_Month,70-79,246548,61443,24.92
1_Month,70-79,144155,38552,26.74
6_Month,70-79,309044,65998,21.36
1_Year,70-79,357058,72694,20.36
All,70-79,417493,92152,22.07
1_Month,80-89,61024,15916,26.08
3_Month,80-89,96423,23979,24.87
6_Month,80-89,119909,26292,21.93
1_Year,80-89,143468,29478,20.55
All,80-89,180210,39836,22.11
All,90+,47657,11385,23.89
1_Year,90+,35789,7898,22.07
6_Month,90+,29313,7038,24.01
3_Month,90+,24074,6418,26.66
1_Month,90+,16546,4376,26.45
