section,male,female,period,order_period
0-9,"{'amount': 5, 'percentage': 0.1}","{'amount': 3, 'percentage': 0.1}",שנה,2
0-9,"{'amount': 5, 'percentage': 0.2}","{'amount': 1, 'percentage': 0}",6 חודשים,3
0-9,"{'amount': 4, 'percentage': 0.2}","{'amount': 1, 'percentage': 0.1}",3 חודשים,4
0-9,"{'amount': 2, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",חודש אחרון,5
0-9,"{'amount': 7, 'percentage': 0.1}","{'amount': 4, 'percentage': 0}",מתחילת קורונה,1
10-19,"{'amount': 2, 'percentage': 0}","{'amount': 2, 'percentage': 0}",שנה,2
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",חודש אחרון,5
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",3 חודשים,4
10-19,"{'amount': 2, 'percentage': 0.1}","{'amount': 2, 'percentage': 0.1}",6 חודשים,3
10-19,"{'amount': 4, 'percentage': 0}","{'amount': 5, 'percentage': 0.1}",מתחילת קורונה,1
20-29,"{'amount': 25, 'percentage': 0.3}","{'amount': 20, 'percentage': 0.2}",מתחילת קורונה,1
20-29,"{'amount': 2, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.3}",חודש אחרון,5
20-29,"{'amount': 3, 'percentage': 0.2}","{'amount': 4, 'percentage': 0.2}",3 חודשים,4
20-29,"{'amount': 6, 'percentage': 0.2}","{'amount': 6, 'percentage': 0.2}",6 חודשים,3
20-29,"{'amount': 13, 'percentage': 0.3}","{'amount': 11, 'percentage': 0.2}",שנה,2
30-39,"{'amount': 31, 'percentage': 0.7}","{'amount': 18, 'percentage': 0.4}",שנה,2
30-39,"{'amount': 50, 'percentage': 0.5}","{'amount': 34, 'percentage': 0.3}",מתחילת קורונה,1
30-39,"{'amount': 5, 'percentage': 0.3}","{'amount': 3, 'percentage': 0.2}",חודש אחרון,5
30-39,"{'amount': 8, 'percentage': 0.4}","{'amount': 3, 'percentage': 0.2}",3 חודשים,4
30-39,"{'amount': 18, 'percentage': 0.6}","{'amount': 12, 'percentage': 0.4}",6 חודשים,3
40-49,"{'amount': 114, 'percentage': 1.1}","{'amount': 74, 'percentage': 0.7}",מתחילת קורונה,1
40-49,"{'amount': 68, 'percentage': 1.5}","{'amount': 40, 'percentage': 0.9}",שנה,2
40-49,"{'amount': 15, 'percentage': 0.8}","{'amount': 10, 'percentage': 0.6}",3 חודשים,4
40-49,"{'amount': 9, 'percentage': 0.6}","{'amount': 7, 'percentage': 0.5}",חודש אחרון,5
40-49,"{'amount': 44, 'percentage': 1.4}","{'amount': 19, 'percentage': 0.6}",6 חודשים,3
50-59,"{'amount': 163, 'percentage': 3.7}","{'amount': 100, 'percentage': 2.3}",שנה,2
50-59,"{'amount': 98, 'percentage': 3.2}","{'amount': 59, 'percentage': 1.9}",6 חודשים,3
50-59,"{'amount': 41, 'percentage': 2.3}","{'amount': 31, 'percentage': 1.7}",3 חודשים,4
50-59,"{'amount': 29, 'percentage': 1.9}","{'amount': 24, 'percentage': 1.6}",חודש אחרון,5
50-59,"{'amount': 357, 'percentage': 3.6}","{'amount': 189, 'percentage': 1.9}",מתחילת קורונה,1
60-69,"{'amount': 94, 'percentage': 6.2}","{'amount': 51, 'percentage': 3.4}",חודש אחרון,5
60-69,"{'amount': 114, 'percentage': 6.4}","{'amount': 65, 'percentage': 3.6}",3 חודשים,4
60-69,"{'amount': 251, 'percentage': 8.2}","{'amount': 178, 'percentage': 5.8}",6 חודשים,3
60-69,"{'amount': 385, 'percentage': 8.7}","{'amount': 267, 'percentage': 6}",שנה,2
60-69,"{'amount': 932, 'percentage': 9.4}","{'amount': 509, 'percentage': 5.1}",מתחילת קורונה,1
70-79,"{'amount': 1517, 'percentage': 15.2}","{'amount': 953, 'percentage': 9.6}",מתחילת קורונה,1
70-79,"{'amount': 228, 'percentage': 12.8}","{'amount': 168, 'percentage': 9.4}",3 חודשים,4
70-79,"{'amount': 407, 'percentage': 13.3}","{'amount': 314, 'percentage': 10.3}",6 חודשים,3
70-79,"{'amount': 608, 'percentage': 13.7}","{'amount': 474, 'percentage': 10.7}",שנה,2
70-79,"{'amount': 194, 'percentage': 12.8}","{'amount': 139, 'percentage': 9.2}",חודש אחרון,5
80-89,"{'amount': 338, 'percentage': 19}","{'amount': 338, 'percentage': 19}",3 חודשים,4
80-89,"{'amount': 534, 'percentage': 17.5}","{'amount': 517, 'percentage': 16.9}",6 חודשים,3
80-89,"{'amount': 745, 'percentage': 16.8}","{'amount': 731, 'percentage': 16.5}",שנה,2
80-89,"{'amount': 303, 'percentage': 20}","{'amount': 291, 'percentage': 19.2}",חודש אחרון,5
80-89,"{'amount': 1742, 'percentage': 17.5}","{'amount': 1603, 'percentage': 16.1}",מתחילת קורונה,1
90+,"{'amount': 326, 'percentage': 7.4}","{'amount': 434, 'percentage': 9.8}",שנה,2
90+,"{'amount': 251, 'percentage': 8.2}","{'amount': 335, 'percentage': 11}",6 חודשים,3
90+,"{'amount': 168, 'percentage': 11.1}","{'amount': 188, 'percentage': 12.4}",חודש אחרון,5
90+,"{'amount': 778, 'percentage': 7.8}","{'amount': 1049, 'percentage': 10.5}",מתחילת קורונה,1
90+,"{'amount': 187, 'percentage': 10.5}","{'amount': 221, 'percentage': 12.4}",3 חודשים,4
