cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
Abu Sinan,0,0,16,11.18,5.16,צהוב,14306
Afula,קטן מ-15,אין מידע,129,22.69,7.95,אדום,56844
Akko,קטן מ-15,אין מידע,56,11.31,5.71,צהוב,49517
Arad,קטן מ-15,אין מידע,41,15.09,6.64,כתום,27170
Ashdod,32,6.78,472,20.85,8.73,אדום,226329
Ashqelon,55,16.37,336,22.94,7.99,אדום,146442
Bat Yam,16,6.67,240,18.78,6.75,כתום,127772
Be'er Sheva,67,13.32,503,23.88,6.73,כתום,210624
Be'er Ya'aqov,קטן מ-15,אין מידע,44,15.27,8.83,אדום,28818
Bene Ayish,קטן מ-15,אין מידע,18,26.08,6.99,כתום,6902
Bene Beraq,קטן מ-15,אין מידע,80,3.85,5.18,צהוב,208031
Bet She'an,0,0,23,12.12,6.29,כתום,18980
Bet Shemesh,קטן מ-15,אין מידע,37,2.80,5.77,צהוב,132210
Binyamina-Giv'at Ada,קטן מ-15,אין מידע,25,15.65,8.77,אדום,15971
Dimona,קטן מ-15,אין מידע,94,26.89,6.72,כתום,34954
Efrat,קטן מ-15,אין מידע,18,15.76,9.64,אדום,11420
Elat,קטן מ-15,אין מידע,65,12.38,7.96,אדום,52507
Even Yehuda,0,0,41,29.21,8.83,אדום,14036
Gan Yavne,קטן מ-15,אין מידע,32,13.40,9.86,אדום,23887
Ganne Tiqwa,קטן מ-15,אין מידע,31,14.41,7.21,כתום,21508
Gedera,קטן מ-15,אין מידע,69,23.95,7.14,כתום,28805
Giv'at Shemu'el,קטן מ-15,אין מידע,36,13.22,8.82,אדום,27236
Giv'atayim,קטן מ-15,אין מידע,119,19.55,8.02,אדום,60872
Hadera,קטן מ-15,אין מידע,184,18.60,7.48,כתום,98928
Haifa,38,6.56,579,20.32,6.54,כתום,284981
Harish,קטן מ-15,אין מידע,18,9.18,8.62,אדום,19608
Herzliyya,17,9.29,183,18.45,7.61,אדום,99208
Hod Hasharon,קטן מ-15,אין מידע,115,17.76,7.37,כתום,64755
Holon,33,9.68,341,17.35,6.83,כתום,196510
Jerusalem,37,4.48,825,8.66,5.66,צהוב,952916
Kafar Kanna,0,0,16,6.88,3.75,ירוק,23251
Karmi'el,קטן מ-15,אין מידע,109,23.60,8.53,אדום,46190
Kefar Sava,16,6.45,248,24.39,8.18,אדום,101664
Kefar Yona,קטן מ-15,אין מידע,54,20.66,7.58,אדום,26140
Kokhav Ya'ir,קטן מ-15,אין מידע,18,20.60,9.42,אדום,8738
Lehavim,0,0,18,27.10,9.82,אדום,6641
Lod,קטן מ-15,אין מידע,95,11.76,6.01,כתום,80786
Ma'ale Adummim,קטן מ-15,אין מידע,54,14.28,7.07,כתום,37802
Ma'alot-Tarshiha,קטן מ-15,אין מידע,27,12.19,6.55,כתום,22158
Mazkeret Batya,קטן מ-15,אין מידע,28,18.55,7.38,כתום,15095
Metar,קטן מ-15,אין מידע,29,29.11,8.22,אדום,9963
Mevasseret Ziyyon,0,0,45,18.48,7.13,כתום,24347
Migdal Haemeq,קטן מ-15,אין מידע,51,19.78,8.26,אדום,25790
Modi'in-Makkabbim-Re'ut,21,14.19,148,15.62,8.36,אדום,94744
Nahariyya,קטן מ-15,אין מידע,96,16.22,8.81,אדום,59189
Nazareth,קטן מ-15,אין מידע,33,4.25,5.05,צהוב,77734
Nes Ziyyona,קטן מ-15,אין מידע,81,16.03,7.51,אדום,50532
Nesher,קטן מ-15,אין מידע,36,15.03,8.14,אדום,23947
Netanya,22,5.50,400,17.89,7.05,כתום,223562
Netivot,קטן מ-15,אין מידע,35,8.87,5.83,צהוב,39456
Nof Hagalil,קטן מ-15,אין מידע,68,16.21,6.84,כתום,41950
Ofaqim,קטן מ-15,אין מידע,39,12.05,5.81,צהוב,32378
Or Aqiva,קטן מ-15,אין מידע,35,18.03,7.15,כתום,19417
Or Yehuda,קטן מ-15,אין מידע,74,20.23,7.38,כתום,36587
Pardes Hanna-Karkur,קטן מ-15,אין מידע,58,13.29,6.2,כתום,43646
Pardesiyya,קטן מ-15,אין מידע,27,40.62,8.94,אדום,6647
Petah Tiqwa,46,7.71,597,23.84,7.58,אדום,250427
Qadima-Zoran,קטן מ-15,אין מידע,35,15.41,6.87,כתום,22711
Qarne Shomeron,קטן מ-15,אין מידע,21,22.12,7.35,כתום,9492
Qiryat Atta,קטן מ-15,אין מידע,113,19.06,7.91,אדום,59291
Qiryat Bialik,קטן מ-15,אין מידע,98,23.53,7.73,אדום,41645
Qiryat Eqron,קטן מ-15,אין מידע,17,15.41,7.51,אדום,11034
Qiryat Gat,קטן מ-15,אין מידע,104,17.76,8.12,אדום,58550
Qiryat Mal'akhi,קטן מ-15,אין מידע,29,11.91,6.14,כתום,24346
Qiryat Motzkin,קטן מ-15,אין מידע,129,28.38,8.06,אדום,45461
Qiryat Ono,קטן מ-15,אין מידע,63,15.45,7.76,אדום,40778
Qiryat Shemona,קטן מ-15,אין מידע,51,22.70,9.74,אדום,22470
Qiryat Tiv'on,0,0,33,18.07,6.38,כתום,18266
Qiryat Yam,קטן מ-15,אין מידע,73,18.53,6.65,כתום,39389
Ra'annana,קטן מ-15,אין מידע,159,20.66,7.19,כתום,76958
Rahat,קטן מ-15,אין מידע,17,2.31,3.47,ירוק,73671
Ramat Gan,24,7.34,327,19.61,7.62,אדום,166746
Ramat Hasharon,קטן מ-15,אין מידע,108,22.75,9.21,אדום,47482
Ramla,קטן מ-15,אין מידע,110,14.30,6.89,כתום,76903
Rehovot,30,10.27,292,19.97,8.56,אדום,146213
Rishon Leziyyon,53,10.77,492,19.23,6.97,כתום,255891
Rosh Haayin,קטן מ-15,אין מידע,112,16.63,8.05,אדום,67337
Sederot,קטן מ-15,אין מידע,29,10.03,6.95,כתום,28899
Shefar'am,קטן מ-15,אין מידע,19,4.48,4.92,צהוב,42400
Shelomi,0,0,17,25.24,8.57,אדום,6736
Shoham,קטן מ-15,אין מידע,49,23.30,9.42,אדום,21029
Tel Aviv - Yafo,36,4.78,753,15.03,7.08,כתום,501015
Tel Mond,קטן מ-15,אין מידע,51,37.89,6.28,כתום,13461
Tiberias,קטן מ-15,אין מידע,71,15.54,6.55,כתום,45686
Tirat Karmel,קטן מ-15,אין מידע,57,23.47,8.8,אדום,24285
Yavne,קטן מ-15,אין מידע,77,15.47,7.14,כתום,49759
Yehud,קטן מ-15,אין מידע,44,14.67,5.75,צהוב,30003
Yeroham,קטן מ-15,אין מידע,18,16.85,7.08,כתום,10680
Yoqne'am Illit,קטן מ-15,אין מידע,49,20.36,7.11,כתום,24061
Zefat,קטן מ-15,אין מידע,25,6.86,7.23,כתום,36423
Zikhron Ya'aqov,קטן מ-15,אין מידע,21,8.94,5.28,צהוב,23503
Zur Hadassa,קטן מ-15,אין מידע,18,15.55,9.64,אדום,11575
