period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,10406,2127,20.44
3_Month,0-9,85562,38968,45.54
6_Month,0-9,307670,90939,29.56
1_Year,0-9,1354036,577062,42.62
All,0-9,1711302,765689,44.74
1_Month,10-19,12299,2352,19.12
3_Month,10-19,84751,35107,41.42
6_Month,10-19,324864,87019,26.79
1_Year,10-19,1258145,601263,47.79
All,10-19,1628479,806650,49.53
1_Month,20-29,19643,2826,14.39
3_Month,20-29,113258,46341,40.92
6_Month,20-29,432825,105236,24.31
1_Year,20-29,1124729,436506,38.81
All,20-29,1470304,601688,40.92
1_Month,30-39,20105,3533,17.57
3_Month,30-39,128894,57759,44.81
6_Month,30-39,431109,127725,29.63
1_Year,30-39,1081319,481319,44.51
All,30-39,1370057,609672,44.5
1_Month,40-49,20476,3865,18.88
3_Month,40-49,126167,57878,45.87
6_Month,40-49,412540,125918,30.52
1_Year,40-49,976724,446157,45.68
All,40-49,1217128,553236,45.45
1_Month,50-59,20546,3840,18.69
3_Month,50-59,116139,54799,47.18
6_Month,50-59,366851,111865,30.49
1_Year,50-59,766250,317572,41.44
All,50-59,952345,393082,41.28
1_Month,60-69,23703,4601,19.41
3_Month,60-69,125025,59970,47.97
6_Month,60-69,340501,112567,33.06
1_Year,60-69,640514,247317,38.61
All,60-69,785801,297240,37.83
1_Month,70-79,24375,4773,19.58
3_Month,70-79,113322,53804,47.48
6_Month,70-79,250093,93191,37.26
1_Year,70-79,419017,162160,38.7
All,70-79,509971,189125,37.09
1_Month,80-89,16852,2077,12.32
3_Month,80-89,60854,24222,39.8
6_Month,80-89,101936,38505,37.77
1_Year,80-89,163070,65137,39.94
All,80-89,217048,79168,36.47
1_Month,90+,5619,566,10.07
3_Month,90+,17617,6111,34.69
6_Month,90+,25302,9299,36.75
1_Year,90+,38755,16208,41.82
All,90+,56463,20614,36.51
