age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,294174,194150,1538337,19.1,12.6
20-29,887504,581662,1300361,68.3,44.7
30-39,895696,628448,1197026,74.8,52.5
40-49,887311,706633,1098556,80.8,64.3
50-59,729241,615937,849966,85.8,72.5
60-69,646831,587093,741639,87.2,79.2
70-79,471141,441934,490784,96,90
80-89,210154,196183,225538,93.2,87
90+,49283,45428,51496,95.7,88.2
