name,value
מספר דיאטניות בבידוד,4
מספר פסיכולוגים/ות בבידוד,9
מספר פרמדיקים בבידוד,10
מספר עובדי מערך לוגיסטי בבידוד,11
מספר עוסים בבידוד,11
מספר עובדי מעבדה בבידוד,16
מספר רוקחים בבידוד,25
מספר פיזיותרפיסטים/ריפוי בעיסוק/קלינאי תקשורת בבידוד,34
מספר חובשי רפואת חירום בבידוד,55
סקטורים אחרים בבידוד,71
מספר אנשי כוח עזר בבידוד,104
מספר עובדי מינהל ומשק בבידוד,206
