actualSick,city,sickCount,status,testLast7Days,verifiedLast7Days
 קטן מ-15 ,תפרח,18,"נדרשים הסברה, בדיקות ואכיפת בידוד",193, קטן מ-15 
1612,ירושלים,5611,נדרשת הגדלה של מספר הבדיקות,118590,927
1134,תל אביב - יפו,1881,נדרשת הגדלה של מספר הבדיקות,62304,507
923,בני ברק,3965,נדרשת הגדלה של מספר הבדיקות,43293,436
689,אשדוד,1037,נדרשת הגדלה של מספר הבדיקות,27823,368
240,ביתר עילית,546,נדרשת הגדלה של מספר הבדיקות,5698,166
179,מודיעין עילית,624,נדרשת הגדלה של מספר הבדיקות,9390,130
109,רעננה,258,נדרשת הגדלה של מספר הבדיקות,10464,81
79,קרית מלאכי,137,נדרשת הגדלה של מספר הבדיקות,2205,61
41,כפר קרע,57,נדרשת הגדלה של מספר הבדיקות,1811,28
38,רמת השרון,84,נדרשת הגדלה של מספר הבדיקות,4698,31
37,טייבה,87,נדרשת הגדלה של מספר הבדיקות,3721,29
35,כסיפה,48,נדרשת הגדלה של מספר הבדיקות,1076,25
19,יבנאל,37,נדרשת הגדלה של מספר הבדיקות,424,16
17,נחף,28,נדרשת הגדלה של מספר הבדיקות,964,16
17,אור עקיבא,24,נדרשת הגדלה של מספר הבדיקות,1880, קטן מ-15 
16,טמרה,39,נדרשת הגדלה של מספר הבדיקות,2266, קטן מ-15 
 קטן מ-15 ,חצור הגלילית, קטן מ-15 ,נדרשת הגדלה של מספר הבדיקות,712, קטן מ-15 
 קטן מ-15 ,סביון,16,נדרשת הגדלה של מספר הבדיקות,572, קטן מ-15 
 קטן מ-15 ,כפר ברא,15,נדרשת הגדלה של מספר הבדיקות,531, קטן מ-15 
398,בת ים,625,"נדרשת הידברות, הסברה ואכיפה",19193,157
310,פתח תקווה,671,"נדרשת הידברות, הסברה ואכיפה",30264,161
247,חולון,476,"נדרשת הידברות, הסברה ואכיפה",23278,127
239,ראשון לציון,509,"נדרשת הידברות, הסברה ואכיפה",27522,127
235,באר שבע,492,"נדרשת הידברות, הסברה ואכיפה",29904,88
217,רהט,338,"נדרשת הידברות, הסברה ואכיפה",7180,46
209,נתניה,438,"נדרשת הידברות, הסברה ואכיפה",20324,106
206,ערערה-בנגב,286,"נדרשת הידברות, הסברה ואכיפה",3769,19
205,בית שמש,764,"נדרשת הידברות, הסברה ואכיפה",11456,122
176,רמלה,261,"נדרשת הידברות, הסברה ואכיפה",8362,95
173,לוד,275,"נדרשת הידברות, הסברה ואכיפה",7836,90
170,טבריה,356,"נדרשת הידברות, הסברה ואכיפה",8159,73
170,רמת גן,375,"נדרשת הידברות, הסברה ואכיפה",19626,97
167,קרית גת,231,"נדרשת הידברות, הסברה ואכיפה",6607,74
161,דימונה,192,"נדרשת הידברות, הסברה ואכיפה",6816,100
145,רחובות,287,"נדרשת הידברות, הסברה ואכיפה",16867,91
145,חיפה,358,"נדרשת הידברות, הסברה ואכיפה",26970,65
133,אלעד,545,"נדרשת הידברות, הסברה ואכיפה",7320,51
112,כפר קאסם,131,"נדרשת הידברות, הסברה ואכיפה",3077,73
109,הרצליה,236,"נדרשת הידברות, הסברה ואכיפה",11048,71
108,באקה אל-גרביה,141,"נדרשת הידברות, הסברה ואכיפה",3907,34
97,אור יהודה,247,"נדרשת הידברות, הסברה ואכיפה",5440,33
81,מודיעין-מכבים-רעות,204,"נדרשת הידברות, הסברה ואכיפה",9546,47
79,כפר סבא,155,"נדרשת הידברות, הסברה ואכיפה",11689,32
76,חדרה,147,"נדרשת הידברות, הסברה ואכיפה",14326,50
72,בית שאן,74,"נדרשת הידברות, הסברה ואכיפה",2186,38
65,יבנה,115,"נדרשת הידברות, הסברה ואכיפה",5236,38
63,ראש העין,121,"נדרשת הידברות, הסברה ואכיפה",6339,40
62,נהריה,109,"נדרשת הידברות, הסברה ואכיפה",8609,28
60,גבעתיים,109,"נדרשת הידברות, הסברה ואכיפה",6600,32
59,אשקלון,340,"נדרשת הידברות, הסברה ואכיפה",15928,32
55,אום אל-פחם,141,"נדרשת הידברות, הסברה ואכיפה",4585,21
54,אילת,86,"נדרשת הידברות, הסברה ואכיפה",4128, קטן מ-15 
51,הוד השרון,98,"נדרשת הידברות, הסברה ואכיפה",6047,27
48,קרית אונו,101,"נדרשת הידברות, הסברה ואכיפה",4295,26
47,נתיבות,154,"נדרשת הידברות, הסברה ואכיפה",4003,21
45,טירה,52,"נדרשת הידברות, הסברה ואכיפה",2928,17
37,חורה,224,"נדרשת הידברות, הסברה ואכיפה",2219, קטן מ-15 
36,רכסים,83,"נדרשת הידברות, הסברה ואכיפה",1658,16
35,אופקים,85,"נדרשת הידברות, הסברה ואכיפה",3643,19
34,עפולה,100,"נדרשת הידברות, הסברה ואכיפה",4719, קטן מ-15 
31,שדרות,88,"נדרשת הידברות, הסברה ואכיפה",4401, קטן מ-15 
30,צפת,136,"נדרשת הידברות, הסברה ואכיפה",3906, קטן מ-15 
29,באר יעקב,62,"נדרשת הידברות, הסברה ואכיפה",2565, קטן מ-15 
28,פרדס חנה-כרכור,53,"נדרשת הידברות, הסברה ואכיפה",5973,20
28,ג'ת,54,"נדרשת הידברות, הסברה ואכיפה",1770, קטן מ-15 
28,עכו,58,"נדרשת הידברות, הסברה ואכיפה",5156,19
27,ערד,46,"נדרשת הידברות, הסברה ואכיפה",2273,17
27,מעלה אדומים,81,"נדרשת הידברות, הסברה ואכיפה",5542,19
26,נס ציונה,52,"נדרשת הידברות, הסברה ואכיפה",3869, קטן מ-15 
25,גן יבנה,51,"נדרשת הידברות, הסברה ואכיפה",2027,17
25,שוהם,60,"נדרשת הידברות, הסברה ואכיפה",2753, קטן מ-15 
