name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,98.79747009277344,27
יוספטל,,56.92307662963867,9
שמיר,,66.66666412353516,23
וולפסון,,73.06002807617188,20
זיו צפת,,77.80979919433594,22
הלל יפה,,91.84465789794922,14
נהריה,,68.90410614013672,36
ברזילי,,79.96688842773438,32
פוריה,,64.22534942626953,13
סוראסקי,,100.0853958129883,23
בני ציון,,84.98844909667969,9
רבין ק. בילינסון,,75.92814636230469,34
סורוקה,,76.19461059570312,29
מאיר,,91.131103515625,25
קפלן,,109.2057723999023,32
"רמב""ם",,86.27049255371094,20
הכרמל,,79.55010223388672,6
השרון ק. גולדה,,46.05809020996094,8
הדסה עין כרם,,,38
הסקוטי,,28.5714282989502,1
המשפחה הקדושה,,,0
סנט ג'וזף,,,2
שערי צדק,,96.80590057373047,21
אל מקאסד,,,0
לניאדו,,84.12256622314453,29
אוגוסטה ויקטוריה,,,0
מעייני הישועה,,90.50633239746094,9
אסותא אשדוד,,,11
שניידר,,,0
סנט וינסנט,,,0
המרכזי בעמק,,76.55172729492188,28
