age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,334984,297021,1538337,21.8,19.3
20-29,977472,881243,1300361,75.2,67.8
30-39,951102,876909,1197026,79.5,73.3
40-49,919443,859661,1098556,83.7,78.3
50-59,750957,705602,849966,88.4,83
60-69,664000,633171,741639,89.5,85.4
70-79,480935,464318,490784,98,94.6
80-89,215287,207068,225538,95.5,91.8
90+,50856,47920,51496,98.8,93.1
