name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,107.2784805297852,20
אוגוסטה ויקטוריה,,,0
שמיר,,73.17620849609375,3
וולפסון,,74.67057037353516,5
זיו צפת,,68.29971313476562,6
הלל יפה,,,0
נהריה,,,0
ברזילי,,,0
פוריה,,76.05633544921875,4
סוראסקי,,111.784797668457,7
בני ציון,,84.06466674804688,7
רבין ק. בילינסון,,90.2264633178711,7
סורוקה,,80.0511474609375,16
מאיר,,91.7737808227539,6
קפלן,,92.75618743896484,5
"רמב""ם",,94.77458953857422,4
הכרמל,,,0
הדסה עין כרם,,100,17
הסקוטי,,,0
המשפחה הקדושה,,,0
שערי צדק,,99.75698852539062,6
לניאדו,,85.79386901855469,4
מעייני הישועה,,,0
אסותא אשדוד,,,0
שניידר,,,0
רבין ק. השרון,,70.53942108154297,6
יוספטל,,,0
סנט וינסנט,,,0
סנט ג'וזף,,,0
אל מקאסד,,,0
המרכזי בעמק,,69.70684051513672,14
