instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,39.5,54.8,2022-03-17T00:00:00.000Z
יוספטל,56.3,53.8,2022-03-17T00:00:00.000Z
סורוקה,59.7,73.4,2022-03-17T00:00:00.000Z
הכרמל,64.2,74.4,2022-03-17T00:00:00.000Z
וולפסון,70.5,70.4,2022-03-17T00:00:00.000Z
פוריה,70.5,70.1,2022-03-17T00:00:00.000Z
איכילוב,75,107.8,2022-03-17T00:00:00.000Z
שמיר,77.2,69.4,2022-03-17T00:00:00.000Z
המרכזי בעמק,77.4,70.2,2022-03-17T00:00:00.000Z
הדסה הר הצופים,77.8,86.1,2022-03-17T00:00:00.000Z
לניאדו,79.5,81.9,2022-03-17T00:00:00.000Z
בני ציון,80.2,86.1,2022-03-17T00:00:00.000Z
מאיר,84,89.5,2022-03-17T00:00:00.000Z
זיו צפת,87.5,80.4,2022-03-17T00:00:00.000Z
הלל יפה,87,80.8,2022-03-17T00:00:00.000Z
שיבא,88.3,98.7,2022-03-17T00:00:00.000Z
ברזילי,91.7,85.3,2022-03-17T00:00:00.000Z
"רמב""ם",94.4,86.8,2022-03-17T00:00:00.000Z
נהריה,95.3,84.5,2022-03-17T00:00:00.000Z
קפלן,102.7,93.6,2022-03-17T00:00:00.000Z
הדסה עין כרם,128.2,94.2,2022-03-17T00:00:00.000Z
רבין ק. בילינסון,134.4,101.9,2022-03-17T00:00:00.000Z
