section,male,female,period
0-9,"{'amount': 5, 'percentage': 0.1}","{'amount': 2, 'percentage': 0}",שנה
0-9,"{'amount': 4, 'percentage': 0.2}","{'amount': 1, 'percentage': 0}",3 חודשים
0-9,"{'amount': 7, 'percentage': 0.1}","{'amount': 4, 'percentage': 0}",מתחילת קורונה
0-9,"{'amount': 4, 'percentage': 0.1}","{'amount': 1, 'percentage': 0}",6 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 5, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.1}",שנה
10-19,"{'amount': 5, 'percentage': 0.2}","{'amount': 3, 'percentage': 0.1}",6 חודשים
10-19,"{'amount': 4, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.1}",3 חודשים
10-19,"{'amount': 1, 'percentage': 0.2}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 7, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
20-29,"{'amount': 7, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.2}",שנה
20-29,"{'amount': 3, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.2}",6 חודשים
20-29,"{'amount': 1, 'percentage': 0}","{'amount': 5, 'percentage': 0.2}",3 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 23, 'percentage': 0.2}","{'amount': 22, 'percentage': 0.2}",מתחילת קורונה
30-39,"{'amount': 24, 'percentage': 0.6}","{'amount': 16, 'percentage': 0.4}",שנה
30-39,"{'amount': 8, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.2}",3 חודשים
30-39,"{'amount': 50, 'percentage': 0.5}","{'amount': 36, 'percentage': 0.3}",מתחילת קורונה
30-39,"{'amount': 12, 'percentage': 0.4}","{'amount': 9, 'percentage': 0.3}",6 חודשים
30-39,"{'amount': 1, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.4}",חודש אחרון
40-49,"{'amount': 56, 'percentage': 1.3}","{'amount': 27, 'percentage': 0.6}",שנה
40-49,"{'amount': 36, 'percentage': 1.3}","{'amount': 19, 'percentage': 0.7}",6 חודשים
40-49,"{'amount': 14, 'percentage': 0.6}","{'amount': 9, 'percentage': 0.4}",3 חודשים
40-49,"{'amount': 4, 'percentage': 0.7}","{'amount': 1, 'percentage': 0.2}",חודש אחרון
40-49,"{'amount': 117, 'percentage': 1.1}","{'amount': 74, 'percentage': 0.7}",מתחילת קורונה
50-59,"{'amount': 50, 'percentage': 2.3}","{'amount': 33, 'percentage': 1.5}",3 חודשים
50-59,"{'amount': 371, 'percentage': 3.6}","{'amount': 192, 'percentage': 1.8}",מתחילת קורונה
50-59,"{'amount': 93, 'percentage': 3.3}","{'amount': 52, 'percentage': 1.8}",6 חודשים
50-59,"{'amount': 152, 'percentage': 3.5}","{'amount': 83, 'percentage': 1.9}",שנה
50-59,"{'amount': 14, 'percentage': 2.5}","{'amount': 4, 'percentage': 0.7}",חודש אחרון
60-69,"{'amount': 372, 'percentage': 8.6}","{'amount': 266, 'percentage': 6.1}",שנה
60-69,"{'amount': 228, 'percentage': 8}","{'amount': 152, 'percentage': 5.3}",6 חודשים
60-69,"{'amount': 147, 'percentage': 6.8}","{'amount': 84, 'percentage': 3.9}",3 חודשים
60-69,"{'amount': 50, 'percentage': 9}","{'amount': 31, 'percentage': 5.6}",חודש אחרון
60-69,"{'amount': 969, 'percentage': 9.3}","{'amount': 535, 'percentage': 5.1}",מתחילת קורונה
70-79,"{'amount': 1575, 'percentage': 15.1}","{'amount': 993, 'percentage': 9.5}",מתחילת קורונה
70-79,"{'amount': 281, 'percentage': 13}","{'amount': 201, 'percentage': 9.3}",3 חודשים
70-79,"{'amount': 585, 'percentage': 13.4}","{'amount': 450, 'percentage': 10.3}",שנה
70-79,"{'amount': 373, 'percentage': 13.1}","{'amount': 288, 'percentage': 10.1}",6 חודשים
70-79,"{'amount': 80, 'percentage': 14.3}","{'amount': 59, 'percentage': 10.6}",חודש אחרון
80-89,"{'amount': 760, 'percentage': 17.5}","{'amount': 735, 'percentage': 16.9}",שנה
80-89,"{'amount': 420, 'percentage': 19.4}","{'amount': 412, 'percentage': 19.1}",3 חודשים
80-89,"{'amount': 1829, 'percentage': 17.6}","{'amount': 1679, 'percentage': 16.1}",מתחילת קורונה
80-89,"{'amount': 498, 'percentage': 17.5}","{'amount': 499, 'percentage': 17.5}",6 חודשים
80-89,"{'amount': 101, 'percentage': 18.1}","{'amount': 95, 'percentage': 17}",חודש אחרון
90+,"{'amount': 255, 'percentage': 9}","{'amount': 307, 'percentage': 10.8}",6 חודשים
90+,"{'amount': 352, 'percentage': 8.1}","{'amount': 440, 'percentage': 10.1}",שנה
90+,"{'amount': 229, 'percentage': 10.6}","{'amount': 253, 'percentage': 11.7}",3 חודשים
90+,"{'amount': 55, 'percentage': 9.9}","{'amount': 60, 'percentage': 10.8}",חודש אחרון
90+,"{'amount': 821, 'percentage': 7.9}","{'amount': 1088, 'percentage': 10.5}",מתחילת קורונה
