instituteDesc,occupancy,gOccupancy,occupancyDate
שמואל הרופא,5.6,69.2,2022-02-02T00:00:00.000Z
הדסה הר הצופים,47.2,83.3,2022-02-02T00:00:00.000Z
רבין ק. השרון,48.2,58.5,2022-02-02T00:00:00.000Z
הכרמל,53.8,78.3,2022-02-02T00:00:00.000Z
פוריה,53.8,74.9,2022-02-02T00:00:00.000Z
בני ציון,55.4,77.4,2022-02-02T00:00:00.000Z
מאיר,56.5,83,2022-02-02T00:00:00.000Z
וולפסון,62.7,77.6,2022-02-02T00:00:00.000Z
סורוקה,65.1,73.9,2022-02-02T00:00:00.000Z
שערי צדק,66,108.3,2022-02-02T00:00:00.000Z
"רמב""ם",67.2,83.1,2022-02-02T00:00:00.000Z
המרכזי בעמק,68.4,68.7,2022-02-02T00:00:00.000Z
יוספטל,68.8,36.9,2022-02-02T00:00:00.000Z
לניאדו,70.5,91.1,2022-02-02T00:00:00.000Z
קפלן,72,85.3,2022-02-02T00:00:00.000Z
ברזילי,74.5,78.6,2022-02-02T00:00:00.000Z
שמיר,79.5,81.4,2022-02-02T00:00:00.000Z
רבין ק. בילינסון,80.6,90.5,2022-02-02T00:00:00.000Z
נהריה,84.2,87.8,2022-02-02T00:00:00.000Z
אסותא אשדוד,89.8,97.6,2022-02-02T00:00:00.000Z
זיו צפת,90.6,78.1,2022-02-02T00:00:00.000Z
שיבא,91.2,105,2022-02-02T00:00:00.000Z
הדסה עין כרם,96.1,97,2022-02-02T00:00:00.000Z
