gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,מתחילת קורונה,308236,10.5,5,0.1,17,0.3,80,0.3
זכר,0-9,6 חודשים,234381,11.4,3,0.1,9,0.6,49,0.6
זכר,0-9,חודש אחרון,162638,10.4,2,0.3,4,0.8,23,0.8
זכר,0-9,שנה,262647,11.4,3,0.1,11,0.4,62,0.5
זכר,0-9,3 חודשים,169662,10.5,2,0.3,5,0.8,23,0.7
נקבה,0-9,6 חודשים,181959,8.9,1,0,4,0.3,26,0.3
נקבה,0-9,3 חודשים,124207,7.7,1,0.1,4,0.6,13,0.4
נקבה,0-9,מתחילת קורונה,244352,8.3,4,0,12,0.2,47,0.2
נקבה,0-9,שנה,205965,9,3,0.1,10,0.4,38,0.3
נקבה,0-9,חודש אחרון,116874,7.5,1,0.2,4,0.8,10,0.4
זכר,10-19,מתחילת קורונה,328838,11.2,4,0,19,0.4,60,0.2
זכר,10-19,6 חודשים,226627,11,2,0.1,9,0.6,28,0.4
זכר,10-19,3 חודשים,179894,11.1,1,0.1,3,0.5,15,0.5
זכר,10-19,חודש אחרון,172957,11.1,1,0.2,3,0.6,12,0.4
זכר,10-19,שנה,253375,11,2,0,10,0.4,39,0.3
נקבה,10-19,3 חודשים,169593,10.5,0,0,7,1.1,9,0.3
נקבה,10-19,חודש אחרון,160993,10.3,0,0,6,1.2,7,0.3
נקבה,10-19,שנה,242326,10.6,1,0,14,0.5,40,0.3
נקבה,10-19,מתחילת קורונה,305167,10.4,4,0,19,0.4,60,0.2
נקבה,10-19,6 חודשים,216625,10.5,1,0,11,0.7,24,0.3
זכר,20-29,חודש אחרון,91205,5.9,0,0,4,0.8,20,0.7
זכר,20-29,מתחילת קורונה,194577,6.6,23,0.3,46,0.9,203,0.8
זכר,20-29,שנה,137891,6,16,0.4,38,1.4,142,1.1
זכר,20-29,6 חודשים,120523,5.9,4,0.2,17,1.2,68,0.9
זכר,20-29,3 חודשים,93946,5.8,1,0.1,6,0.9,23,0.7
נקבה,20-29,מתחילת קורונה,262230,8.9,16,0.2,54,1,244,1
נקבה,20-29,3 חודשים,141805,8.8,0,0,10,1.5,21,0.7
נקבה,20-29,חודש אחרון,137311,8.8,0,0,7,1.4,15,0.5
נקבה,20-29,6 חודשים,176427,8.6,3,0.1,15,1,82,1
נקבה,20-29,שנה,199246,8.7,7,0.2,30,1.1,155,1.2
זכר,30-39,6 חודשים,117275,5.7,15,0.6,29,2,176,2.2
זכר,30-39,3 חודשים,91574,5.7,4,0.5,13,2,34,1.1
זכר,30-39,חודש אחרון,88725,5.7,3,0.5,11,2.2,25,0.9
זכר,30-39,שנה,131869,5.7,32,0.8,53,2,346,2.6
זכר,30-39,מתחילת קורונה,173209,5.9,46,0.5,84,1.6,553,2.2
נקבה,30-39,3 חודשים,142245,8.8,0,0,11,1.7,40,1.3
נקבה,30-39,6 חודשים,178792,8.7,9,0.4,28,1.9,180,2.3
נקבה,30-39,שנה,197131,8.6,20,0.5,62,2.3,356,2.7
נקבה,30-39,מתחילת קורונה,244061,8.3,31,0.3,88,1.7,528,2.1
נקבה,30-39,חודש אחרון,137389,8.8,0,0,6,1.2,28,1
זכר,40-49,3 חודשים,85268,5.3,8,1,34,5.2,76,2.5
זכר,40-49,6 חודשים,105568,5.1,36,1.5,73,4.9,360,4.6
זכר,40-49,מתחילת קורונה,152964,5.2,106,1.2,229,4.4,1267,5
זכר,40-49,חודש אחרון,82556,5.3,2,0.3,20,4,56,2
זכר,40-49,שנה,117061,5.1,70,1.7,144,5.4,713,5.5
נקבה,40-49,שנה,166836,7.3,42,1,82,3.1,524,4
נקבה,40-49,6 חודשים,152648,7.4,16,0.7,42,2.8,270,3.4
נקבה,40-49,3 חודשים,126684,7.8,9,1.1,20,3.1,50,1.6
נקבה,40-49,מתחילת קורונה,209406,7.1,71,0.8,134,2.5,858,3.4
נקבה,40-49,חודש אחרון,122599,7.9,6,0.9,12,2.4,36,1.3
זכר,50-59,חודש אחרון,54766,3.5,16,2.5,38,7.6,129,4.6
זכר,50-59,3 חודשים,56402,3.5,28,3.6,58,8.9,150,4.8
זכר,50-59,שנה,74752,3.3,169,4.1,256,9.7,1020,7.8
זכר,50-59,6 חודשים,67406,3.3,85,3.6,129,8.7,539,6.8
זכר,50-59,מתחילת קורונה,102422,3.5,339,3.8,480,9.1,2059,8.2
נקבה,50-59,6 חודשים,93764,4.6,46,1.9,84,5.7,407,5.2
נקבה,50-59,מתחילת קורונה,134244,4.6,172,1.9,234,4.4,1416,5.6
נקבה,50-59,חודש אחרון,77548,5,11,1.7,32,6.4,99,3.6
נקבה,50-59,שנה,102833,4.5,93,2.3,151,5.7,789,6
נקבה,50-59,3 חודשים,79692,4.9,15,1.9,42,6.5,116,3.7
זכר,60-69,חודש אחרון,37366,2.4,40,6.1,52,10.4,250,9
זכר,60-69,6 חודשים,44900,2.2,215,9,189,12.8,798,10.1
זכר,60-69,שנה,49539,2.2,394,9.6,357,13.5,1312,10
זכר,60-69,מתחילת קורונה,69173,2.4,866,9.7,822,15.6,2918,11.6
זכר,60-69,3 חודשים,38427,2.4,62,7.9,76,11.7,282,9.1
נקבה,60-69,שנה,64619,2.8,278,6.8,254,9.6,1004,7.7
נקבה,60-69,6 חודשים,58960,2.9,174,7.3,149,10.1,578,7.3
נקבה,60-69,חודש אחרון,49522,3.2,29,4.4,38,7.6,157,5.6
נקבה,60-69,3 חודשים,50900,3.1,42,5.4,55,8.4,185,6
נקבה,60-69,מתחילת קורונה,84469,2.9,480,5.4,436,8.3,1958,7.8
