period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,898383,349005,38.85
3_Month,0-9,1144607,412479,36.04
6_Month,0-9,1387682,518708,37.38
1_Year,0-9,1508342,559247,37.08
All,0-9,1659850,646713,38.96
1_Year,10-19,1382006,564117,40.82
All,10-19,1567871,693348,44.22
1_Month,10-19,713414,352452,49.4
6_Month,10-19,1253860,529750,42.25
3_Month,10-19,1040133,452693,43.52
All,20-29,1355600,481579,35.53
1_Month,20-29,515915,220329,42.71
1_Year,20-29,1170254,371595,31.75
6_Month,20-29,1021641,344442,33.71
3_Month,20-29,792843,292047,36.84
3_Month,30-39,775284,307945,39.72
All,30-39,1248791,463513,37.12
1_Year,30-39,1097632,385610,35.13
6_Month,30-39,969961,361187,37.24
1_Month,30-39,543272,248205,45.69
1_Month,40-49,502726,225590,44.87
All,40-49,1104480,408440,36.98
1_Year,40-49,970746,339685,34.99
6_Month,40-49,867094,319267,36.82
3_Month,40-49,712170,280514,39.39
6_Month,50-59,639406,199543,31.21
3_Month,50-59,515100,179253,34.8
1_Month,50-59,351229,144756,41.21
1_Year,50-59,721838,213340,29.56
All,50-59,835618,267346,31.99
3_Month,60-69,409803,117010,28.55
1_Month,60-69,275063,91535,33.28
All,60-69,670557,174752,26.06
1_Year,60-69,577934,138327,23.93
6_Month,60-69,510680,128226,25.11
1_Year,70-79,354032,70639,19.95
1_Month,70-79,160371,45419,28.32
6_Month,70-79,308120,64690,21
3_Month,70-79,243996,59124,24.23
All,70-79,413921,89831,21.7
3_Month,80-89,95289,23069,24.21
1_Month,80-89,67206,18583,27.65
All,80-89,178845,38938,21.77
6_Month,80-89,119927,25891,21.59
1_Year,80-89,142634,28711,20.13
All,90+,47378,11161,23.56
1_Year,90+,35724,7708,21.58
3_Month,90+,23866,6190,25.94
1_Month,90+,18069,5092,28.18
6_Month,90+,29394,6942,23.62
