section,male,female,period,order_period
0-9,"{'amount': 72, 'percentage': 0.5}","{'amount': 52, 'percentage': 0.4}",שנה,2
0-9,"{'amount': 95, 'percentage': 0.4}","{'amount': 62, 'percentage': 0.2}",מתחילת קורונה,1
0-9,"{'amount': 32, 'percentage': 0.8}","{'amount': 23, 'percentage': 0.5}",חודש אחרון,5
0-9,"{'amount': 37, 'percentage': 0.8}","{'amount': 27, 'percentage': 0.6}",3 חודשים,4
0-9,"{'amount': 61, 'percentage': 0.7}","{'amount': 41, 'percentage': 0.5}",6 חודשים,3
10-19,"{'amount': 43, 'percentage': 0.3}","{'amount': 39, 'percentage': 0.3}",שנה,2
10-19,"{'amount': 31, 'percentage': 0.3}","{'amount': 25, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 14, 'percentage': 0.3}","{'amount': 9, 'percentage': 0.2}",חודש אחרון,5
10-19,"{'amount': 20, 'percentage': 0.4}","{'amount': 13, 'percentage': 0.3}",3 חודשים,4
10-19,"{'amount': 66, 'percentage': 0.2}","{'amount': 62, 'percentage': 0.2}",מתחילת קורונה,1
20-29,"{'amount': 27, 'percentage': 0.6}","{'amount': 22, 'percentage': 0.5}",3 חודשים,4
20-29,"{'amount': 73, 'percentage': 0.8}","{'amount': 83, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 20, 'percentage': 0.5}","{'amount': 14, 'percentage': 0.3}",חודש אחרון,5
20-29,"{'amount': 207, 'percentage': 0.8}","{'amount': 245, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 133, 'percentage': 1}","{'amount': 143, 'percentage': 1.1}",שנה,2
30-39,"{'amount': 43, 'percentage': 0.9}","{'amount': 55, 'percentage': 1.1}",3 חודשים,4
30-39,"{'amount': 36, 'percentage': 0.9}","{'amount': 41, 'percentage': 1}",חודש אחרון,5
30-39,"{'amount': 566, 'percentage': 2.1}","{'amount': 545, 'percentage': 2}",מתחילת קורונה,1
30-39,"{'amount': 316, 'percentage': 2.4}","{'amount': 321, 'percentage': 2.4}",שנה,2
30-39,"{'amount': 181, 'percentage': 2}","{'amount': 181, 'percentage': 2}",6 חודשים,3
40-49,"{'amount': 659, 'percentage': 4.9}","{'amount': 490, 'percentage': 3.7}",שנה,2
40-49,"{'amount': 1294, 'percentage': 4.8}","{'amount': 889, 'percentage': 3.3}",מתחילת קורונה,1
40-49,"{'amount': 86, 'percentage': 2}","{'amount': 52, 'percentage': 1.2}",חודש אחרון,5
40-49,"{'amount': 372, 'percentage': 4.1}","{'amount': 284, 'percentage': 3.2}",6 חודשים,3
40-49,"{'amount': 109, 'percentage': 2.3}","{'amount': 68, 'percentage': 1.4}",3 חודשים,4
50-59,"{'amount': 2129, 'percentage': 7.9}","{'amount': 1473, 'percentage': 5.5}",מתחילת קורונה,1
50-59,"{'amount': 943, 'percentage': 7.1}","{'amount': 746, 'percentage': 5.6}",שנה,2
50-59,"{'amount': 228, 'percentage': 4.7}","{'amount': 159, 'percentage': 3.3}",3 חודשים,4
50-59,"{'amount': 583, 'percentage': 6.5}","{'amount': 422, 'percentage': 4.7}",6 חודשים,3
50-59,"{'amount': 199, 'percentage': 4.7}","{'amount': 135, 'percentage': 3.2}",חודש אחרון,5
60-69,"{'amount': 3086, 'percentage': 11.5}","{'amount': 2071, 'percentage': 7.7}",מתחילת קורונה,1
60-69,"{'amount': 375, 'percentage': 8.9}","{'amount': 262, 'percentage': 6.2}",חודש אחרון,5
60-69,"{'amount': 437, 'percentage': 9.1}","{'amount': 304, 'percentage': 6.3}",3 חודשים,4
60-69,"{'amount': 873, 'percentage': 9.7}","{'amount': 656, 'percentage': 7.3}",6 חודשים,3
60-69,"{'amount': 1320, 'percentage': 9.9}","{'amount': 1026, 'percentage': 7.7}",שנה,2
70-79,"{'amount': 595, 'percentage': 14.1}","{'amount': 437, 'percentage': 10.3}",חודש אחרון,5
70-79,"{'amount': 3494, 'percentage': 13}","{'amount': 2549, 'percentage': 9.5}",מתחילת קורונה,1
70-79,"{'amount': 667, 'percentage': 13.8}","{'amount': 500, 'percentage': 10.4}",3 חודשים,4
70-79,"{'amount': 1100, 'percentage': 12.3}","{'amount': 881, 'percentage': 9.8}",6 חודשים,3
70-79,"{'amount': 1576, 'percentage': 11.8}","{'amount': 1296, 'percentage': 9.7}",שנה,2
80-89,"{'amount': 640, 'percentage': 15.1}","{'amount': 667, 'percentage': 15.8}",חודש אחרון,5
80-89,"{'amount': 1077, 'percentage': 12}","{'amount': 1109, 'percentage': 12.4}",6 חודשים,3
80-89,"{'amount': 717, 'percentage': 14.9}","{'amount': 736, 'percentage': 15.3}",3 חודשים,4
80-89,"{'amount': 2841, 'percentage': 10.5}","{'amount': 2907, 'percentage': 10.8}",מתחילת קורונה,1
80-89,"{'amount': 1451, 'percentage': 10.9}","{'amount': 1540, 'percentage': 11.5}",שנה,2
90+,"{'amount': 943, 'percentage': 3.5}","{'amount': 1426, 'percentage': 5.3}",מתחילת קורונה,1
90+,"{'amount': 249, 'percentage': 5.9}","{'amount': 348, 'percentage': 8.2}",חודש אחרון,5
90+,"{'amount': 271, 'percentage': 5.6}","{'amount': 386, 'percentage': 8}",3 חודשים,4
90+,"{'amount': 365, 'percentage': 4.1}","{'amount': 575, 'percentage': 6.4}",6 חודשים,3
90+,"{'amount': 467, 'percentage': 3.5}","{'amount': 734, 'percentage': 5.5}",שנה,2
