period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,8518,1108,13.01
3_Month,0-9,18871,2839,15.04
6_Month,0-9,97323,39269,40.35
1_Year,0-9,1218722,535546,43.94
All,0-9,1715300,767721,44.76
1_Month,10-19,13338,3422,25.66
3_Month,10-19,28778,7012,24.37
6_Month,10-19,104659,39050,37.31
1_Year,10-19,1141518,575009,50.37
All,10-19,1631849,810704,49.68
1_Month,20-29,19182,5232,27.28
3_Month,20-29,41411,10021,24.2
6_Month,20-29,141479,53477,37.8
1_Year,20-29,1004127,428431,42.67
All,20-29,1477604,608333,41.17
1_Month,30-39,19126,5592,29.24
3_Month,30-39,40865,11149,27.28
6_Month,30-39,153221,65455,42.72
1_Year,30-39,977622,471526,48.23
All,30-39,1375372,616981,44.86
1_Month,40-49,20264,6219,30.69
3_Month,40-49,42791,12565,29.36
6_Month,40-49,150634,66873,44.39
1_Year,40-49,894104,442627,49.51
All,40-49,1222131,561285,45.93
1_Month,50-59,20776,6356,30.59
3_Month,50-59,43730,13285,30.38
6_Month,50-59,140752,64716,45.98
1_Year,50-59,702617,322275,45.87
All,50-59,957877,402820,42.05
1_Month,60-69,23117,6830,29.55
3_Month,60-69,49785,15319,30.77
6_Month,60-69,152726,71983,47.13
1_Year,60-69,593646,257093,43.31
All,60-69,792207,309816,39.11
1_Month,70-79,25018,6639,26.54
3_Month,70-79,52235,15871,30.38
6_Month,70-79,140568,66738,47.48
1_Year,70-79,396965,175102,44.11
All,70-79,518419,203340,39.22
1_Month,80-89,20931,3598,17.19
3_Month,80-89,35454,8002,22.57
6_Month,80-89,74599,31119,41.72
1_Year,80-89,156831,71759,45.76
All,80-89,222222,86358,38.86
1_Month,90+,7615,1098,14.42
3_Month,90+,11933,2239,18.76
6_Month,90+,21553,8128,37.71
1_Year,90+,37779,17944,47.5
All,90+,58443,22486,38.48
