section,male,female,period
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 0, 'percentage': 0}",6 חודשים
0-9,"{'amount': 8, 'percentage': 0.1}","{'amount': 4, 'percentage': 0}",מתחילת קורונה
0-9,"{'amount': 5, 'percentage': 0.1}","{'amount': 2, 'percentage': 0.1}",שנה
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",6 חודשים
10-19,"{'amount': 3, 'percentage': 0.1}","{'amount': 2, 'percentage': 0.1}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 6, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
20-29,"{'amount': 1, 'percentage': 0.3}","{'amount': 0, 'percentage': 0}",3 חודשים
20-29,"{'amount': 2, 'percentage': 0.2}","{'amount': 0, 'percentage': 0}",6 חודשים
20-29,"{'amount': 4, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.1}",שנה
20-29,"{'amount': 1, 'percentage': 0.7}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 26, 'percentage': 0.2}","{'amount': 22, 'percentage': 0.2}",מתחילת קורונה
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.2}",6 חודשים
30-39,"{'amount': 53, 'percentage': 0.4}","{'amount': 40, 'percentage': 0.3}",מתחילת קורונה
30-39,"{'amount': 11, 'percentage': 0.3}","{'amount': 8, 'percentage': 0.2}",שנה
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
40-49,"{'amount': 1, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.7}",3 חודשים
40-49,"{'amount': 23, 'percentage': 0.6}","{'amount': 17, 'percentage': 0.5}",שנה
40-49,"{'amount': 6, 'percentage': 0.6}","{'amount': 6, 'percentage': 0.6}",6 חודשים
40-49,"{'amount': 126, 'percentage': 1.1}","{'amount': 82, 'percentage': 0.7}",מתחילת קורונה
40-49,"{'amount': 1, 'percentage': 0.7}","{'amount': 1, 'percentage': 0.7}",חודש אחרון
50-59,"{'amount': 2, 'percentage': 0.7}","{'amount': 4, 'percentage': 1.4}",3 חודשים
50-59,"{'amount': 12, 'percentage': 1.1}","{'amount': 10, 'percentage': 0.9}",6 חודשים
50-59,"{'amount': 80, 'percentage': 2.1}","{'amount': 50, 'percentage': 1.3}",שנה
50-59,"{'amount': 2, 'percentage': 1.4}","{'amount': 1, 'percentage': 0.7}",חודש אחרון
50-59,"{'amount': 402, 'percentage': 3.4}","{'amount': 209, 'percentage': 1.7}",מתחילת קורונה
60-69,"{'amount': 9, 'percentage': 3.1}","{'amount': 9, 'percentage': 3.1}",3 חודשים
60-69,"{'amount': 54, 'percentage': 5.1}","{'amount': 25, 'percentage': 2.4}",6 חודשים
60-69,"{'amount': 1054, 'percentage': 8.8}","{'amount': 583, 'percentage': 4.9}",מתחילת קורונה
60-69,"{'amount': 231, 'percentage': 6.2}","{'amount': 132, 'percentage': 3.5}",שנה
60-69,"{'amount': 5, 'percentage': 3.4}","{'amount': 2, 'percentage': 1.4}",חודש אחרון
70-79,"{'amount': 38, 'percentage': 13.3}","{'amount': 29, 'percentage': 10.1}",3 חודשים
70-79,"{'amount': 138, 'percentage': 13}","{'amount': 93, 'percentage': 8.8}",6 חודשים
70-79,"{'amount': 496, 'percentage': 13.3}","{'amount': 349, 'percentage': 9.4}",שנה
70-79,"{'amount': 17, 'percentage': 11.7}","{'amount': 18, 'percentage': 12.4}",חודש אחרון
70-79,"{'amount': 1792, 'percentage': 15}","{'amount': 1141, 'percentage': 9.5}",מתחילת קורונה
80-89,"{'amount': 63, 'percentage': 22}","{'amount': 52, 'percentage': 18.2}",3 חודשים
80-89,"{'amount': 213, 'percentage': 20.1}","{'amount': 187, 'percentage': 17.7}",6 חודשים
80-89,"{'amount': 718, 'percentage': 19.2}","{'amount': 677, 'percentage': 18.1}",שנה
80-89,"{'amount': 40, 'percentage': 27.6}","{'amount': 20, 'percentage': 13.8}",חודש אחרון
80-89,"{'amount': 2127, 'percentage': 17.8}","{'amount': 1946, 'percentage': 16.3}",מתחילת קורונה
90+,"{'amount': 39, 'percentage': 13.6}","{'amount': 37, 'percentage': 12.9}",3 חודשים
90+,"{'amount': 145, 'percentage': 13.7}","{'amount': 165, 'percentage': 15.6}",6 חודשים
90+,"{'amount': 21, 'percentage': 14.5}","{'amount': 16, 'percentage': 11}",חודש אחרון
90+,"{'amount': 432, 'percentage': 11.6}","{'amount': 487, 'percentage': 13}",שנה
90+,"{'amount': 1025, 'percentage': 8.6}","{'amount': 1322, 'percentage': 11}",מתחילת קורונה
