section,female,male,period
0-9,"{'amount': 43, 'percentage': 0.4}","{'amount': 67, 'percentage': 0.6}",שנה
0-9,"{'amount': 2, 'percentage': 0.2}","{'amount': 4, 'percentage': 0.4}",3 חודשים
0-9,"{'amount': 2, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.7}",חודש אחרון
0-9,"{'amount': 80, 'percentage': 0.2}","{'amount': 128, 'percentage': 0.4}",מתחילת קורונה
0-9,"{'amount': 6, 'percentage': 0.2}","{'amount': 10, 'percentage': 0.3}",6 חודשים
10-19,"{'amount': 6, 'percentage': 0.2}","{'amount': 5, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 3, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 83, 'percentage': 0.3}","{'amount': 83, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 20, 'percentage': 0.2}","{'amount': 28, 'percentage': 0.3}",שנה
10-19,"{'amount': 1, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.4}",חודש אחרון
20-29,"{'amount': 34, 'percentage': 0.3}","{'amount': 50, 'percentage': 0.5}",שנה
20-29,"{'amount': 2, 'percentage': 0.2}","{'amount': 4, 'percentage': 0.4}",3 חודשים
20-29,"{'amount': 286, 'percentage': 0.9}","{'amount': 254, 'percentage': 0.8}",מתחילת קורונה
20-29,"{'amount': 9, 'percentage': 0.3}","{'amount': 10, 'percentage': 0.3}",6 חודשים
20-29,"{'amount': 2, 'percentage': 0.4}","{'amount': 3, 'percentage': 0.5}",חודש אחרון
30-39,"{'amount': 10, 'percentage': 0.9}","{'amount': 7, 'percentage': 0.6}",3 חודשים
30-39,"{'amount': 3, 'percentage': 0.5}","{'amount': 7, 'percentage': 1.2}",חודש אחרון
30-39,"{'amount': 611, 'percentage': 1.9}","{'amount': 649, 'percentage': 2}",מתחילת קורונה
30-39,"{'amount': 80, 'percentage': 0.8}","{'amount': 80, 'percentage': 0.8}",שנה
30-39,"{'amount': 16, 'percentage': 0.5}","{'amount': 17, 'percentage': 0.6}",6 חודשים
40-49,"{'amount': 105, 'percentage': 1}","{'amount': 172, 'percentage': 1.6}",שנה
40-49,"{'amount': 4, 'percentage': 0.4}","{'amount': 12, 'percentage': 1.1}",3 חודשים
40-49,"{'amount': 988, 'percentage': 3}","{'amount': 1445, 'percentage': 4.4}",מתחילת קורונה
40-49,"{'amount': 20, 'percentage': 0.7}","{'amount': 30, 'percentage': 1}",6 חודשים
40-49,"{'amount': 2, 'percentage': 0.4}","{'amount': 7, 'percentage': 1.2}",חודש אחרון
50-59,"{'amount': 265, 'percentage': 2.5}","{'amount': 397, 'percentage': 3.7}",שנה
50-59,"{'amount': 54, 'percentage': 1.8}","{'amount': 89, 'percentage': 2.9}",6 חודשים
50-59,"{'amount': 20, 'percentage': 1.8}","{'amount': 32, 'percentage': 2.9}",3 חודשים
50-59,"{'amount': 1641, 'percentage': 5}","{'amount': 2334, 'percentage': 7.1}",מתחילת קורונה
50-59,"{'amount': 9, 'percentage': 1.6}","{'amount': 17, 'percentage': 3}",חודש אחרון
60-69,"{'amount': 598, 'percentage': 5.6}","{'amount': 889, 'percentage': 8.3}",שנה
60-69,"{'amount': 43, 'percentage': 3.8}","{'amount': 77, 'percentage': 6.9}",3 חודשים
60-69,"{'amount': 2399, 'percentage': 7.3}","{'amount': 3580, 'percentage': 10.9}",מתחילת קורונה
60-69,"{'amount': 139, 'percentage': 4.6}","{'amount': 232, 'percentage': 7.6}",6 חודשים
60-69,"{'amount': 23, 'percentage': 4}","{'amount': 41, 'percentage': 7.2}",חודש אחרון
70-79,"{'amount': 1161, 'percentage': 10.9}","{'amount': 1530, 'percentage': 14.4}",שנה
70-79,"{'amount': 71, 'percentage': 12.5}","{'amount': 95, 'percentage': 16.7}",חודש אחרון
70-79,"{'amount': 355, 'percentage': 11.7}","{'amount': 452, 'percentage': 14.9}",6 חודשים
70-79,"{'amount': 141, 'percentage': 12.6}","{'amount': 180, 'percentage': 16.1}",3 חודשים
70-79,"{'amount': 3247, 'percentage': 9.9}","{'amount': 4260, 'percentage': 12.9}",מתחילת קורונה
80-89,"{'amount': 3833, 'percentage': 11.6}","{'amount': 3746, 'percentage': 11.4}",מתחילת קורונה
80-89,"{'amount': 1725, 'percentage': 16.2}","{'amount': 1699, 'percentage': 15.9}",שנה
80-89,"{'amount': 188, 'percentage': 16.8}","{'amount': 198, 'percentage': 17.7}",3 חודשים
80-89,"{'amount': 93, 'percentage': 16.3}","{'amount': 95, 'percentage': 16.7}",חודש אחרון
80-89,"{'amount': 521, 'percentage': 17.1}","{'amount': 533, 'percentage': 17.5}",6 חודשים
90+,"{'amount': 106, 'percentage': 9.5}","{'amount': 83, 'percentage': 7.4}",3 חודשים
90+,"{'amount': 1965, 'percentage': 6}","{'amount': 1326, 'percentage': 4}",מתחילת קורונה
90+,"{'amount': 992, 'percentage': 9.3}","{'amount': 721, 'percentage': 6.8}",שנה
90+,"{'amount': 325, 'percentage': 10.7}","{'amount': 212, 'percentage': 7}",6 חודשים
90+,"{'amount': 51, 'percentage': 8.9}","{'amount': 42, 'percentage': 7.4}",חודש אחרון
