period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,10645,941,8.84
3_Month,0-9,20534,2842,13.84
6_Month,0-9,71197,22394,31.45
1_Year,0-9,1160972,519532,44.75
All,0-9,1716730,768064,44.74
1_Month,10-19,12792,2577,20.15
3_Month,10-19,28404,7359,25.91
6_Month,10-19,78891,23061,29.23
1_Year,10-19,1055527,546132,51.74
All,10-19,1632483,811305,49.7
1_Month,20-29,18956,4239,22.36
3_Month,20-29,42243,11073,26.21
6_Month,20-29,112229,35618,31.74
1_Year,20-29,947265,408305,43.1
All,20-29,1479265,609641,41.21
1_Month,30-39,17941,4424,24.66
3_Month,30-39,40691,11889,29.22
6_Month,30-39,116644,42230,36.2
1_Year,30-39,933684,456526,48.9
All,30-39,1376451,618228,44.91
1_Month,40-49,18464,4909,26.59
3_Month,40-49,42206,13333,31.59
6_Month,40-49,114261,43512,38.08
1_Year,40-49,856380,428727,50.06
All,40-49,1223179,562672,46
1_Month,50-59,18963,4936,26.03
3_Month,50-59,43416,13851,31.9
6_Month,50-59,109637,43282,39.48
1_Year,50-59,676756,314638,46.49
All,50-59,958940,404374,42.17
1_Month,60-69,21264,5337,25.1
3_Month,60-69,49212,15443,31.38
6_Month,60-69,121081,49264,40.69
1_Year,60-69,576748,253034,43.87
All,60-69,793401,311751,39.29
1_Month,70-79,23456,5193,22.14
3_Month,70-79,51371,15280,29.74
6_Month,70-79,115537,47304,40.94
1_Year,70-79,388218,174058,44.84
All,70-79,520004,205442,39.51
1_Month,80-89,20333,3052,15.01
3_Month,80-89,36531,8231,22.53
6_Month,80-89,65820,23533,35.75
1_Year,80-89,154160,72091,46.76
All,80-89,223371,87689,39.26
1_Month,90+,7455,931,12.49
3_Month,90+,12522,2380,19.01
6_Month,90+,19953,6389,32.02
1_Year,90+,37481,18138,48.39
All,90+,59017,22907,38.81
