gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
נקבה,50-59,3 חודשים,34792,7.7,6,0.8,13,2.9,54,1.9,297,2.5
זכר,60-69,מתחילת קורונה,132048,2.9,1039,8.9,992,15.3,3492,11,7235,8.2
זכר,60-69,חודש אחרון,1825,5.8,5,4.2,25,17.1,40,8.8,165,7.9
זכר,60-69,3 חודשים,25386,5.6,41,5.4,65,14.5,224,7.9,840,7.1
זכר,60-69,שנה,103135,3,316,7.4,309,12.9,1079,8.9,2974,7.1
זכר,60-69,6 חודשים,45335,5,64,5.3,113,14,331,8,1278,7.3
נקבה,60-69,חודש אחרון,2907,9.3,4,3.4,11,7.5,26,5.7,119,5.7
נקבה,60-69,6 חודשים,66744,7.4,36,3,55,6.8,214,5.2,968,5.5
נקבה,60-69,שנה,146831,4.3,204,4.8,193,8,781,6.5,2262,5.4
נקבה,60-69,מתחילת קורונה,178150,3.9,573,4.9,528,8.1,2358,7.4,5350,6.1
נקבה,60-69,3 חודשים,36679,8.2,15,2,27,6,141,5,643,5.4
זכר,70-79,חודש אחרון,2006,6.4,14,11.9,20,13.7,74,16.2,298,14.2
זכר,70-79,6 חודשים,40920,4.5,169,13.9,148,18.3,608,14.7,2101,12
זכר,70-79,שנה,72813,2.1,564,13.3,374,15.6,1588,13.1,4184,10
זכר,70-79,מתחילת קורונה,87572,1.9,1745,15,1101,17,4080,12.8,8285,9.4
זכר,70-79,3 חודשים,24433,5.4,96,12.6,76,17,410,14.5,1446,12.2
נקבה,70-79,6 חודשים,51737,5.7,110,9.1,86,10.6,439,10.6,1673,9.6
נקבה,70-79,שנה,90568,2.6,421,9.9,258,10.8,1255,10.4,3448,8.2
נקבה,70-79,חודש אחרון,2843,9.1,6,5.1,17,11.6,42,9.2,215,10.2
נקבה,70-79,מתחילת קורונה,106748,2.3,1111,9.5,632,9.8,3095,9.7,6742,7.7
נקבה,70-79,3 חודשים,31183,6.9,65,8.6,52,11.6,311,11,1165,9.8
זכר,80-89,מתחילת קורונה,34482,0.8,2054,17.6,705,10.9,3534,11.1,6998,8
זכר,80-89,חודש אחרון,891,2.9,25,21.2,24,16.4,84,18.4,288,13.7
זכר,80-89,3 חודשים,10426,2.3,142,18.7,65,14.5,486,17.2,1443,12.2
זכר,80-89,6 חודשים,16372,1.8,221,18.2,115,14.2,686,16.6,2041,11.7
זכר,80-89,שנה,27830,0.8,752,17.7,276,11.5,1671,13.8,4001,9.5
נקבה,80-89,חודש אחרון,1349,4.3,21,17.8,12,8.2,75,16.4,279,13.3
נקבה,80-89,6 חודשים,21999,2.4,205,16.9,72,8.9,680,16.5,2137,12.2
נקבה,80-89,שנה,38251,1.1,728,17.1,222,9.3,1736,14.4,4266,10.2
נקבה,80-89,מתחילת קורונה,47533,1,1889,16.2,521,8,3629,11.4,7560,8.6
נקבה,80-89,3 חודשים,14476,3.2,139,18.3,45,10,474,16.8,1513,12.8
זכר,90+,6 חודשים,3202,0.4,162,13.3,30,3.7,304,7.4,715,4.1
זכר,90+,מתחילת קורונה,7374,0.2,984,8.4,161,2.5,1235,3.9,2321,2.6
זכר,90+,שנה,5753,0.2,425,10,73,3,681,5.6,1416,3.4
זכר,90+,חודש אחרון,210,0.7,18,15.3,3,2.1,27,5.9,86,4.1
זכר,90+,3 חודשים,2112,0.5,108,14.2,19,4.2,198,7,490,4.1
נקבה,90+,מתחילת קורונה,14298,0.3,1281,11,158,2.4,1853,5.8,3509,4
נקבה,90+,חודש אחרון,424,1.4,19,16.1,3,2.1,46,10.1,138,6.6
נקבה,90+,3 חודשים,4181,0.9,127,16.7,20,4.5,333,11.8,761,6.4
נקבה,90+,6 חודשים,6091,0.7,187,15.4,32,4,452,10.9,1058,6
נקבה,90+,שנה,10879,0.3,513,12.1,76,3.2,977,8.1,2035,4.8
