age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,315887,253451,1538337,20.5,16.5
20-29,931836,766049,1300361,71.7,58.9
30-39,915916,786953,1197026,76.5,65.7
40-49,896208,802647,1098556,81.6,73.1
50-59,735824,672409,849966,86.6,79.1
60-69,654692,615179,741639,88.3,82.9
70-79,475688,455065,490784,96.9,92.7
80-89,212421,202120,225538,94.2,89.6
90+,49854,46651,51496,96.8,90.6
