period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,80760,6407,7.93
3_Month,0-9,267147,63094,23.62
6_Month,0-9,1215317,502916,41.38
1_Year,0-9,1490138,626120,42.02
All,0-9,1699545,734131,43.2
1_Month,10-19,82606,6681,8.09
3_Month,10-19,288295,61466,21.32
6_Month,10-19,1138241,539911,47.43
1_Year,10-19,1390471,630571,45.35
All,10-19,1619120,776252,47.94
1_Month,20-29,129513,5965,4.61
3_Month,20-29,392075,65616,16.74
6_Month,20-29,979077,374811,38.28
1_Year,20-29,1223674,437453,35.75
All,20-29,1451908,559311,38.52
1_Month,30-39,127164,8280,6.51
3_Month,30-39,378956,77228,20.38
6_Month,30-39,951965,406802,42.73
1_Year,30-39,1166495,470817,40.36
All,30-39,1352925,557224,41.19
1_Month,40-49,118213,8624,7.3
3_Month,40-49,361724,74208,20.52
6_Month,40-49,869349,374897,43.12
1_Year,40-49,1044971,424250,40.6
All,40-49,1200491,498611,41.53
1_Month,50-59,108440,7691,7.09
3_Month,50-59,320204,59359,18.54
6_Month,50-59,671056,252383,37.61
1_Year,50-59,808471,280315,34.67
All,50-59,934126,337592,36.14
1_Month,60-69,97837,8255,8.44
3_Month,60-69,283371,51177,18.06
6_Month,60-69,553190,177460,32.08
1_Year,60-69,664515,195143,29.37
All,60-69,764092,233614,30.57
1_Month,70-79,65823,7007,10.65
3_Month,70-79,189741,35568,18.75
6_Month,70-79,347700,99808,28.71
1_Year,70-79,419256,109484,26.11
All,70-79,483736,129938,26.86
1_Month,80-89,27709,2449,8.84
3_Month,80-89,71454,13004,18.2
6_Month,80-89,129536,38081,29.4
1_Year,80-89,160673,42698,26.57
All,80-89,202624,53705,26.5
1_Month,90+,8013,550,6.86
3_Month,90+,17549,3014,17.17
6_Month,90+,30239,9648,31.91
1_Year,90+,37985,10850,28.56
All,90+,52273,14515,27.77
