age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,192958,58534,366596,241,497,3866,124.9,849.1,1054.6,0,0,2,0,0,0.5
16-19,431832,29168,122545,2089,125,1239,483.8,428.6,1011.1,0,0,1,0,0,0.8
20-29,993684,43714,262963,7072,225,2477,711.7,514.7,942,2,1,6,0.2,2.3,2.3
30-39,970692,34853,191481,7335,154,2180,755.6,441.9,1138.5,5,0,16,0.5,0,8.4
40-49,928695,26821,143040,6712,92,1459,722.7,343,1020,13,0,40,1.4,0,28
50-59,749365,17950,82651,4720,70,906,629.9,390,1096.2,38,0,40,5.1,0,48.4
60-69,666690,10822,64127,3119,32,608,467.8,295.7,948.1,61,2,68,9.1,18.5,106
70-79,464972,5910,19902,1866,25,349,401.3,423,1753.6,87,6,52,18.7,101.5,261.3
80-89,209215,3938,12385,1075,15,185,513.8,380.9,1493.7,117,3,50,55.9,76.2,403.7
90+,46670,1765,3061,296,9,71,634.2,509.9,2319.5,16,1,14,34.3,56.7,457.4
