name,value
מספר דיאטניות בבידוד,4
מספר פרמדיקים בבידוד,4
מספר עובדי מערך לוגיסטי בבידוד,6
מספר פסיכולוגים/ות בבידוד,7
מספר עוסים בבידוד,9
מספר עובדי מעבדה בבידוד,13
מספר רוקחים בבידוד,22
מספר פיזיותרפיסטים/ריפוי בעיסוק/קלינאי תקשורת בבידוד,33
מספר חובשי רפואת חירום בבידוד,37
סקטורים אחרים בבידוד,76
מספר אנשי כוח עזר בבידוד,94
מספר עובדי מינהל ומשק בבידוד,190
