gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,מתחילת קורונה,390382,11,7,0.1,26,0.5,98,0.4
זכר,0-9,6 חודשים,299655,11.9,5,0.2,17,1,61,0.7
זכר,0-9,שנה,332747,11.9,5,0.1,19,0.7,75,0.6
זכר,0-9,חודש אחרון,159446,12.7,2,0.1,11,1.3,32,0.8
זכר,0-9,3 חודשים,248263,11.2,4,0.2,12,1.1,40,0.8
נקבה,0-9,חודש אחרון,107004,8.5,1,0.1,6,0.7,22,0.5
נקבה,0-9,שנה,250743,9,3,0.1,10,0.4,52,0.4
נקבה,0-9,6 חודשים,222925,8.8,1,0,6,0.3,40,0.5
נקבה,0-9,3 חודשים,177963,8,1,0.1,6,0.6,28,0.5
נקבה,0-9,מתחילת קורונה,297995,8.4,4,0,13,0.2,62,0.2
זכר,10-19,חודש אחרון,138106,11,1,0.1,9,1,15,0.4
זכר,10-19,שנה,308165,11,2,0,15,0.6,45,0.3
זכר,10-19,מתחילת קורונה,395659,11.2,4,0,23,0.4,69,0.3
זכר,10-19,3 חודשים,244477,11.1,1,0.1,9,0.9,23,0.4
זכר,10-19,6 חודשים,280370,11.1,2,0.1,14,0.8,32,0.4
נקבה,10-19,חודש אחרון,115609,9.2,1,0.1,6,0.7,8,0.2
נקבה,10-19,3 חודשים,223701,10.1,1,0.1,7,0.7,14,0.3
נקבה,10-19,6 חודשים,259996,10.3,2,0.1,12,0.7,26,0.3
נקבה,10-19,שנה,285707,10.2,3,0.1,15,0.6,39,0.3
נקבה,10-19,מתחילת קורונה,359860,10.2,6,0.1,19,0.3,62,0.2
זכר,20-29,6 חודשים,137601,5.4,6,0.2,20,1.1,70,0.8
זכר,20-29,מתחילת קורונה,220744,6.2,25,0.2,50,0.9,208,0.8
זכר,20-29,חודש אחרון,60684,4.8,2,0.1,7,0.8,20,0.5
זכר,20-29,שנה,155021,5.5,13,0.3,36,1.3,130,1
זכר,20-29,3 חודשים,119763,5.4,3,0.2,10,1,30,0.6
נקבה,20-29,מתחילת קורונה,303000,8.6,20,0.2,55,1,248,0.9
נקבה,20-29,3 חודשים,182051,8.2,4,0.2,11,1,23,0.4
נקבה,20-29,חודש אחרון,94080,7.5,4,0.3,9,1,15,0.4
נקבה,20-29,שנה,228528,8.2,10,0.2,25,0.9,135,1
נקבה,20-29,6 חודשים,206315,8.2,6,0.2,16,0.9,79,0.9
זכר,30-39,שנה,159611,5.7,31,0.7,53,2,285,2.2
זכר,30-39,6 חודשים,143240,5.7,17,0.6,34,1.9,170,1.9
זכר,30-39,3 חודשים,125788,5.7,8,0.4,20,1.9,44,0.8
זכר,30-39,חודש אחרון,71299,5.7,5,0.3,14,1.6,33,0.8
זכר,30-39,מתחילת קורונה,207841,5.9,50,0.5,91,1.6,567,2.1
נקבה,30-39,6 חודשים,221212,8.8,13,0.4,28,1.6,172,1.9
נקבה,30-39,3 חודשים,194968,8.8,4,0.2,11,1,55,1
נקבה,30-39,חודש אחרון,112506,9,4,0.3,7,0.8,38,0.9
נקבה,30-39,שנה,242577,8.7,18,0.4,55,2,303,2.3
נקבה,30-39,מתחילת קורונה,297506,8.4,35,0.3,90,1.6,547,2
זכר,40-49,3 חודשים,117596,5.3,15,0.8,44,4.2,115,2.2
זכר,40-49,מתחילת קורונה,185623,5.2,114,1.1,238,4.2,1299,4.7
זכר,40-49,חודש אחרון,67247,5.4,9,0.6,28,3.2,79,1.9
זכר,40-49,6 חודשים,130766,5.2,44,1.4,84,4.7,358,4
זכר,40-49,שנה,144759,5.2,66,1.5,140,5.2,614,4.7
נקבה,40-49,6 חודשים,192060,7.6,19,0.6,46,2.6,267,3
נקבה,40-49,מתחילת קורונה,258214,7.3,74,0.7,138,2.4,891,3.3
נקבה,40-49,3 חודשים,174884,7.9,10,0.5,20,1.9,71,1.4
נקבה,40-49,שנה,209345,7.5,39,0.9,75,2.8,460,3.5
נקבה,40-49,חודש אחרון,100880,8,6,0.4,15,1.7,48,1.2
זכר,50-59,6 חודשים,82676,3.3,101,3.3,161,9,564,6.4
זכר,50-59,3 חודשים,76572,3.5,44,2.4,88,8.4,251,4.8
זכר,50-59,חודש אחרון,43553,3.5,31,2.1,68,7.8,194,4.7
זכר,50-59,שנה,91718,3.3,162,3.6,252,9.4,917,7
זכר,50-59,מתחילת קורונה,122701,3.5,360,3.6,518,9.1,2150,7.9
נקבה,50-59,חודש אחרון,65268,5.2,21,1.4,42,4.8,136,3.3
נקבה,50-59,מתחילת קורונה,165556,4.7,189,1.9,249,4.4,1490,5.4
נקבה,50-59,שנה,130106,4.7,99,2.2,148,5.5,703,5.3
נקבה,50-59,3 חודשים,110717,5,31,1.7,52,5,172,3.3
נקבה,50-59,6 חודשים,118899,4.7,58,1.9,89,5,401,4.5
זכר,60-69,3 חודשים,51444,2.3,116,6.3,119,11.3,467,8.9
זכר,60-69,6 חודשים,54829,2.2,249,8.1,221,12.4,858,9.7
זכר,60-69,שנה,61061,2.2,382,8.6,343,12.8,1298,9.8
זכר,60-69,חודש אחרון,27579,2.2,90,6,97,11.1,355,8.6
זכר,60-69,מתחילת קורונה,82356,2.3,934,9.3,876,15.4,3121,11.4
נקבה,60-69,שנה,82721,3,269,6.1,239,8.9,1015,7.7
נקבה,60-69,3 חודשים,70877,3.2,69,3.7,72,6.9,340,6.5
נקבה,60-69,חודש אחרון,40739,3.2,51,3.4,59,6.8,272,6.6
נקבה,60-69,6 חודשים,75366,3,180,5.9,160,9,654,7.4
נקבה,60-69,מתחילת קורונה,104541,3,514,5.1,459,8.1,2102,7.7
זכר,70-79,3 חודשים,27882,1.3,239,13,158,15,735,14
זכר,70-79,שנה,33076,1.2,612,13.8,380,14.1,1577,12
זכר,70-79,6 חודשים,29525,1.2,408,13.3,252,14.1,1089,12.3
זכר,70-79,חודש אחרון,14805,1.2,200,13.3,141,16.2,597,14.4
זכר,70-79,מתחילת קורונה,43710,1.2,1528,15.2,979,17.2,3563,13
נקבה,70-79,3 חודשים,34110,1.5,173,9.4,99,9.4,547,10.4
נקבה,70-79,שנה,40341,1.4,471,10.6,274,10.2,1292,9.8
נקבה,70-79,מתחילת קורונה,51336,1.5,958,9.5,547,9.6,2599,9.5
נקבה,70-79,חודש אחרון,19171,1.5,136,9,83,9.5,436,10.5
נקבה,70-79,6 חודשים,36233,1.4,315,10.3,187,10.5,887,10
זכר,80-89,חודש אחרון,5586,0.4,309,20.5,108,12.4,637,15.3
זכר,80-89,מתחילת קורונה,17158,0.5,1760,17.5,606,10.6,2899,10.6
זכר,80-89,3 חודשים,9992,0.5,355,19.3,128,12.2,772,14.7
זכר,80-89,שנה,12382,0.4,753,17,260,9.7,1461,11.1
זכר,80-89,6 חודשים,10785,0.4,541,17.7,189,10.6,1061,12
נקבה,80-89,3 חודשים,14243,0.6,349,18.9,117,11.1,801,15.3
נקבה,80-89,6 חודשים,15367,0.6,513,16.7,162,9.1,1113,12.6
נקבה,80-89,שנה,17452,0.6,737,16.6,232,8.6,1555,11.8
נקבה,80-89,מתחילת קורונה,24062,0.7,1614,16.1,461,8.1,2967,10.8
נקבה,80-89,חודש אחרון,8365,0.7,287,19.1,101,11.6,630,15.2
זכר,90+,שנה,2783,0.1,329,7.4,55,2,491,3.7
זכר,90+,6 חודשים,2428,0.1,251,8.2,42,2.4,381,4.3
זכר,90+,חודש אחרון,1299,0.1,164,10.9,30,3.4,253,6.1
זכר,90+,3 חודשים,2247,0.1,191,10.4,32,3,303,5.8
זכר,90+,מתחילת קורונה,4006,0.1,782,7.8,129,2.3,970,3.5
נקבה,90+,מתחילת קורונה,7811,0.2,1054,10.5,126,2.2,1455,5.3
נקבה,90+,חודש אחרון,2433,0.2,182,12.1,29,3.3,330,8
נקבה,90+,6 חודשים,4572,0.2,334,10.9,46,2.6,572,6.5
נקבה,90+,שנה,5225,0.2,437,9.8,62,2.3,747,5.7
נקבה,90+,3 חודשים,4233,0.2,226,12.3,35,3.3,415,7.9
