cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
אבו ג'ווייעד (שבט),15,15.31,98,210.80,5,צהוב,4649
אבו גוש,56,24.03,233,296.36,7.43,כתום,7862
אבו סנאן,62,34.64,179,125.12,6.9,כתום,14306
אבו קורינאת (שבט),קטן מ-15,אין מידע,18,27.02,6.78,כתום,6661
אבו רובייעה (שבט),קטן מ-15,אין מידע,28,31.66,5.89,צהוב,8843
אבו רוקייק (שבט),קטן מ-15,אין מידע,22,21.52,4.12,ירוק,10222
אבטין,קטן מ-15,אין מידע,21,72.74,4.92,צהוב,2887
אבן יהודה,112,38.49,291,207.32,9.17,אדום,14036
אבני חפץ,קטן מ-15,אין מידע,19,91.39,8.11,אדום,2079
אום אל-פחם,256,40.83,627,110.56,6.94,כתום,56713
אום בטין,15,60.00,25,55.79,3.74,ירוק,4481
אופקים,173,34.81,497,153.50,9.59,אדום,32378
אור יהודה,96,22.38,429,117.25,8.26,אדום,36587
אור עקיבא,89,27.13,328,168.92,9.53,אדום,19417
אורנית,57,39.04,146,162.04,9.19,אדום,9010
אזור,42,25.93,162,122.47,8.29,אדום,13228
אחוזת ברק,38,44.71,85,354.46,10,אדום,2398
אילת,373,39.06,955,181.88,8.84,אדום,52507
אכסאל,53,31.36,169,112.37,7.18,כתום,15039
אלון שבות,37,56.06,66,212.15,8.96,אדום,3111
אליכין,25,33.78,74,213.50,9.61,אדום,3466
אלעד,82,33.47,245,49.82,4.92,צהוב,49179
אלעזר,15,46.88,32,130.72,9.54,אדום,2448
אלפי מנשה,73,41.48,176,219.70,9.95,אדום,8011
אלקנה,29,35.37,82,207.12,9.51,אדום,3959
אעבלין,45,37.19,121,89.53,6.8,כתום,13515
אעצם (שבט),קטן מ-15,אין מידע,34,31.33,6.4,כתום,10853
אפרת,104,55.32,188,164.62,9.91,אדום,11420
אריאל,140,36.65,382,186.45,10,אדום,20488
אשדוד,750,30.45,2463,108.82,8.71,אדום,226329
אשקלון,850,30.81,2759,188.40,9.41,אדום,146442
באקה אל-גרביה,142,35.41,401,131.70,7.53,אדום,30448
באר יעקב,153,36.96,414,143.66,9.69,אדום,28818
באר שבע,1186,30.03,3949,187.49,9.4,אדום,210624
בועיינה-נוג'ידאת,16,17.78,90,89.90,5.74,צהוב,10011
בוקעאתא,21,32.31,65,97.35,7.18,כתום,6677
ביר אל-מכסור,53,49.53,107,109.98,6.58,כתום,9729
בית אל,39,54.93,71,119.81,9.56,אדום,5926
בית אריה,31,40.26,77,144.14,9.64,אדום,5342
בית ג'ן,43,33.33,129,106.01,9.39,אדום,12169
בית דגן,23,34.33,67,91.81,8.32,אדום,7298
בית חשמונאי,18,43.90,41,187.30,10,אדום,2189
בית יצחק-שער חפר,קטן מ-15,אין מידע,33,153.92,8.6,אדום,2144
בית שאן,122,27.35,446,234.98,9.59,אדום,18980
בית שמש,154,29.00,531,40.16,6.09,כתום,132210
ביתר עילית,קטן מ-15,אין מידע,60,9.79,2.89,ירוק,61297
בני ברק,251,29.63,847,40.72,4.3,ירוק,208031
