instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,56.1,61.8,2022-02-22T00:00:00.000Z
פוריה,61.5,71.3,2022-02-22T00:00:00.000Z
וולפסון,62.3,74.5,2022-02-22T00:00:00.000Z
סורוקה,70.9,81.2,2022-02-22T00:00:00.000Z
יוספטל,75,49.2,2022-02-22T00:00:00.000Z
לניאדו,78.2,85.5,2022-02-22T00:00:00.000Z
שמיר,82.2,79.1,2022-02-22T00:00:00.000Z
בני ציון,82.6,90.1,2022-02-22T00:00:00.000Z
שערי צדק,87.3,107.3,2022-02-22T00:00:00.000Z
המרכזי בעמק,87.1,74.1,2022-02-22T00:00:00.000Z
הדסה הר הצופים,88.9,86.8,2022-02-22T00:00:00.000Z
ברזילי,90.1,77,2022-02-22T00:00:00.000Z
מאיר,90,88.9,2022-02-22T00:00:00.000Z
"רמב""ם",96.5,93.4,2022-02-22T00:00:00.000Z
שיבא,100.4,107.4,2022-02-22T00:00:00.000Z
הדסה עין כרם,101.9,102.8,2022-02-22T00:00:00.000Z
אסותא אשדוד,103.4,105.1,2022-02-22T00:00:00.000Z
זיו צפת,104.7,81.3,2022-02-22T00:00:00.000Z
נהריה,107.4,90.4,2022-02-22T00:00:00.000Z
רבין ק. בילינסון,109.7,93.7,2022-02-22T00:00:00.000Z
