name,value
פראמדיקים,10
קלינאות תקשורת,23
פסיכולוגיה,24
ריפוי בעיסוק,39
שירות סוציאלי,43
פיזיותרפיה,63
מעבדה,67
מערך לוגיסטי,67
רוקחות,78
חובשי רפואת חירום,83
כוח עזר,84
מינהל ומשק,533
סקטורים אחרים,1484
