section,male,female,period
0-9,"{'amount': 28128, 'percentage': 4.6}","{'amount': 24479, 'percentage': 4}",6 חודשים
0-9,"{'amount': 331, 'percentage': 1.4}","{'amount': 367, 'percentage': 1.6}",חודש אחרון
0-9,"{'amount': 441979, 'percentage': 9.6}","{'amount': 363724, 'percentage': 7.9}",מתחילת קורונה
0-9,"{'amount': 305654, 'percentage': 9.2}","{'amount': 244134, 'percentage': 7.4}",שנה
0-9,"{'amount': 4635, 'percentage': 3.5}","{'amount': 4227, 'percentage': 3.2}",3 חודשים
10-19,"{'amount': 25226, 'percentage': 4.1}","{'amount': 26943, 'percentage': 4.4}",6 חודשים
10-19,"{'amount': 562, 'percentage': 2.4}","{'amount': 782, 'percentage': 3.4}",חודש אחרון
10-19,"{'amount': 439903, 'percentage': 9.5}","{'amount': 430738, 'percentage': 9.3}",מתחילת קורונה
10-19,"{'amount': 293615, 'percentage': 8.9}","{'amount': 294648, 'percentage': 8.9}",שנה
10-19,"{'amount': 3919, 'percentage': 2.9}","{'amount': 4744, 'percentage': 3.6}",3 חודשים
20-29,"{'amount': 688, 'percentage': 2.9}","{'amount': 1166, 'percentage': 5}",חודש אחרון
20-29,"{'amount': 269508, 'percentage': 5.8}","{'amount': 382435, 'percentage': 8.3}",מתחילת קורונה
20-29,"{'amount': 170028, 'percentage': 5.1}","{'amount': 261572, 'percentage': 7.9}",שנה
20-29,"{'amount': 26449, 'percentage': 4.3}","{'amount': 37554, 'percentage': 6.1}",6 חודשים
20-29,"{'amount': 5373, 'percentage': 4}","{'amount': 7801, 'percentage': 5.8}",3 חודשים
30-39,"{'amount': 978, 'percentage': 4.2}","{'amount': 1379, 'percentage': 5.9}",חודש אחרון
30-39,"{'amount': 270026, 'percentage': 5.8}","{'amount': 389901, 'percentage': 8.4}",מתחילת קורונה
30-39,"{'amount': 189450, 'percentage': 5.7}","{'amount': 288105, 'percentage': 8.7}",שנה
30-39,"{'amount': 33709, 'percentage': 5.5}","{'amount': 46734, 'percentage': 7.6}",6 חודשים
30-39,"{'amount': 6727, 'percentage': 5}","{'amount': 9485, 'percentage': 7.1}",3 חודשים
40-49,"{'amount': 1013, 'percentage': 4.3}","{'amount': 1620, 'percentage': 6.9}",חודש אחרון
40-49,"{'amount': 244636, 'percentage': 5.3}","{'amount': 351239, 'percentage': 7.6}",מתחילת קורונה
40-49,"{'amount': 177975, 'percentage': 5.4}","{'amount': 268204, 'percentage': 8.1}",שנה
40-49,"{'amount': 33022, 'percentage': 5.4}","{'amount': 48792, 'percentage': 8}",6 חודשים
40-49,"{'amount': 6667, 'percentage': 5}","{'amount': 9983, 'percentage': 7.5}",3 חודשים
50-59,"{'amount': 29962, 'percentage': 4.9}","{'amount': 47707, 'percentage': 7.8}",6 חודשים
50-59,"{'amount': 1126, 'percentage': 4.8}","{'amount': 1885, 'percentage': 8.1}",חודש אחרון
50-59,"{'amount': 172253, 'percentage': 3.7}","{'amount': 247661, 'percentage': 5.4}",מתחילת קורונה
50-59,"{'amount': 126795, 'percentage': 3.8}","{'amount': 192832, 'percentage': 5.8}",שנה
50-59,"{'amount': 6416, 'percentage': 4.8}","{'amount': 10549, 'percentage': 7.9}",3 חודשים
60-69,"{'amount': 134198, 'percentage': 2.9}","{'amount': 181386, 'percentage': 3.9}",מתחילת קורונה
60-69,"{'amount': 1584, 'percentage': 6.8}","{'amount': 2442, 'percentage': 10.5}",חודש אחרון
60-69,"{'amount': 103626, 'percentage': 3.1}","{'amount': 147789, 'percentage': 4.5}",שנה
60-69,"{'amount': 34514, 'percentage': 5.6}","{'amount': 50662, 'percentage': 8.3}",6 חודשים
60-69,"{'amount': 8217, 'percentage': 6.2}","{'amount': 11995, 'percentage': 9}",3 חודשים
70-79,"{'amount': 33980, 'percentage': 5.5}","{'amount': 43295, 'percentage': 7.1}",6 חודשים
70-79,"{'amount': 2088, 'percentage': 8.9}","{'amount': 2665, 'percentage': 11.4}",חודש אחרון
70-79,"{'amount': 90300, 'percentage': 2}","{'amount': 110206, 'percentage': 2.4}",מתחילת קורונה
70-79,"{'amount': 74714, 'percentage': 2.3}","{'amount': 92998, 'percentage': 2.8}",שנה
70-79,"{'amount': 8800, 'percentage': 6.6}","{'amount': 11512, 'percentage': 8.6}",3 חודשים
80-89,"{'amount': 14119, 'percentage': 2.3}","{'amount': 19046, 'percentage': 3.1}",6 חודשים
80-89,"{'amount': 919, 'percentage': 3.9}","{'amount': 1229, 'percentage': 5.3}",חודש אחרון
80-89,"{'amount': 35715, 'percentage': 0.8}","{'amount': 49014, 'percentage': 1.1}",מתחילת קורונה
80-89,"{'amount': 28665, 'percentage': 0.9}","{'amount': 39177, 'percentage': 1.2}",שנה
80-89,"{'amount': 4005, 'percentage': 3}","{'amount': 5708, 'percentage': 4.3}",3 חודשים
90+,"{'amount': 7626, 'percentage': 0.2}","{'amount': 14663, 'percentage': 0.3}",מתחילת קורונה
90+,"{'amount': 2778, 'percentage': 0.5}","{'amount': 5337, 'percentage': 0.9}",6 חודשים
90+,"{'amount': 187, 'percentage': 0.8}","{'amount': 332, 'percentage': 1.4}",חודש אחרון
90+,"{'amount': 5897, 'percentage': 0.2}","{'amount': 11082, 'percentage': 0.3}",שנה
90+,"{'amount': 875, 'percentage': 0.7}","{'amount': 1713, 'percentage': 1.3}",3 חודשים
