section,female,male,period,order_period
0-9,"{'amount': 3, 'percentage': 0}","{'amount': 6, 'percentage': 0.1}",מתחילת קורונה,1
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.9}",חודש אחרון,5
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.5}",3 חודשים,4
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 3, 'percentage': 0.1}",6 חודשים,3
0-9,"{'amount': 2, 'percentage': 0}","{'amount': 4, 'percentage': 0.1}",שנה,2
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים,4
10-19,"{'amount': 1, 'percentage': 0}","{'amount': 2, 'percentage': 0}",שנה,2
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
10-19,"{'amount': 4, 'percentage': 0}","{'amount': 3, 'percentage': 0}",מתחילת קורונה,1
10-19,"{'amount': 1, 'percentage': 0}","{'amount': 1, 'percentage': 0}",6 חודשים,3
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
20-29,"{'amount': 3, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.2}",6 חודשים,3
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.5}",3 חודשים,4
20-29,"{'amount': 16, 'percentage': 0.2}","{'amount': 23, 'percentage': 0.3}",מתחילת קורונה,1
20-29,"{'amount': 7, 'percentage': 0.2}","{'amount': 17, 'percentage': 0.4}",שנה,2
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.9}",חודש אחרון,5
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 5, 'percentage': 1.3}",3 חודשים,4
30-39,"{'amount': 9, 'percentage': 0.4}","{'amount': 15, 'percentage': 0.7}",6 חודשים,3
30-39,"{'amount': 21, 'percentage': 0.5}","{'amount': 31, 'percentage': 0.8}",שנה,2
30-39,"{'amount': 31, 'percentage': 0.4}","{'amount': 45, 'percentage': 0.5}",מתחילת קורונה,1
40-49,"{'amount': 38, 'percentage': 0.9}","{'amount': 73, 'percentage': 1.8}",שנה,2
40-49,"{'amount': 12, 'percentage': 0.6}","{'amount': 35, 'percentage': 1.7}",6 חודשים,3
40-49,"{'amount': 6, 'percentage': 1.5}","{'amount': 9, 'percentage': 2.3}",3 חודשים,4
40-49,"{'amount': 2, 'percentage': 0.9}","{'amount': 2, 'percentage': 0.9}",חודש אחרון,5
40-49,"{'amount': 67, 'percentage': 0.8}","{'amount': 105, 'percentage': 1.2}",מתחילת קורונה,1
50-59,"{'amount': 165, 'percentage': 1.9}","{'amount': 327, 'percentage': 3.9}",מתחילת קורונה,1
50-59,"{'amount': 6, 'percentage': 2.6}","{'amount': 5, 'percentage': 2.1}",חודש אחרון,5
50-59,"{'amount': 9, 'percentage': 2.3}","{'amount': 21, 'percentage': 5.3}",3 חודשים,4
50-59,"{'amount': 40, 'percentage': 2}","{'amount': 75, 'percentage': 3.7}",6 חודשים,3
50-59,"{'amount': 92, 'percentage': 2.2}","{'amount': 177, 'percentage': 4.3}",שנה,2
60-69,"{'amount': 28, 'percentage': 7.1}","{'amount': 40, 'percentage': 10.2}",3 חודשים,4
60-69,"{'amount': 462, 'percentage': 5.4}","{'amount': 840, 'percentage': 9.9}",מתחילת קורונה,1
60-69,"{'amount': 10, 'percentage': 4.3}","{'amount': 18, 'percentage': 7.7}",חודש אחרון,5
60-69,"{'amount': 156, 'percentage': 7.8}","{'amount': 196, 'percentage': 9.8}",6 חודשים,3
60-69,"{'amount': 279, 'percentage': 6.8}","{'amount': 415, 'percentage': 10.1}",שנה,2
70-79,"{'amount': 54, 'percentage': 13.7}","{'amount': 47, 'percentage': 11.9}",3 חודשים,4
70-79,"{'amount': 448, 'percentage': 11}","{'amount': 594, 'percentage': 14.5}",שנה,2
70-79,"{'amount': 27, 'percentage': 11.6}","{'amount': 27, 'percentage': 11.6}",חודש אחרון,5
70-79,"{'amount': 820, 'percentage': 9.7}","{'amount': 1324, 'percentage': 15.6}",מתחילת קורונה,1
70-79,"{'amount': 216, 'percentage': 10.8}","{'amount': 288, 'percentage': 14.4}",6 חודשים,3
80-89,"{'amount': 317, 'percentage': 15.8}","{'amount': 319, 'percentage': 15.9}",6 חודשים,3
80-89,"{'amount': 58, 'percentage': 14.7}","{'amount': 47, 'percentage': 11.9}",3 חודשים,4
80-89,"{'amount': 48, 'percentage': 20.6}","{'amount': 37, 'percentage': 15.9}",חודש אחרון,5
80-89,"{'amount': 639, 'percentage': 15.6}","{'amount': 627, 'percentage': 15.3}",שנה,2
80-89,"{'amount': 1318, 'percentage': 15.5}","{'amount': 1445, 'percentage': 17}",מתחילת קורונה,1
90+,"{'amount': 374, 'percentage': 9.1}","{'amount': 248, 'percentage': 6.1}",שנה,2
90+,"{'amount': 196, 'percentage': 9.8}","{'amount': 118, 'percentage': 5.9}",6 חודשים,3
90+,"{'amount': 43, 'percentage': 10.9}","{'amount': 23, 'percentage': 5.8}",3 חודשים,4
90+,"{'amount': 28, 'percentage': 12}","{'amount': 19, 'percentage': 8.2}",חודש אחרון,5
90+,"{'amount': 864, 'percentage': 10.2}","{'amount': 610, 'percentage': 7.2}",מתחילת קורונה,1
