name,value
פסיכולוגיה,6
שירות סוציאלי,12
ריפוי בעיסוק,15
פראמדיקים,15
קלינאות תקשורת,18
פיזיותרפיה,27
מעבדה,28
רוקחות,46
מערך לוגיסטי,60
כוח עזר,136
חובשי רפואת חירום,143
מינהל ומשק,520
סקטורים אחרים,980
