period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,83383,6486,7.78
3_Month,0-9,266503,62909,23.61
6_Month,0-9,1216580,503011,41.35
1_Year,0-9,1490275,625972,42
All,0-9,1699443,733983,43.19
1_Month,10-19,85531,6657,7.78
3_Month,10-19,287588,61238,21.29
6_Month,10-19,1139336,539900,47.39
1_Year,10-19,1390656,630382,45.33
All,10-19,1618975,776066,47.94
1_Month,20-29,134940,5932,4.4
3_Month,20-29,391155,65360,16.71
6_Month,20-29,980130,374625,38.22
1_Year,20-29,1223806,437210,35.73
All,20-29,1451705,559087,38.51
1_Month,30-39,130668,8139,6.23
3_Month,30-39,377825,76744,20.31
6_Month,30-39,952860,406410,42.65
1_Year,30-39,1166584,470357,40.32
All,30-39,1352661,556783,41.16
1_Month,40-49,121558,8468,6.97
3_Month,40-49,360708,73748,20.45
6_Month,40-49,870115,374509,43.04
1_Year,40-49,1044957,423814,40.56
All,40-49,1200301,498195,41.51
1_Month,50-59,111176,7454,6.7
3_Month,50-59,319246,58823,18.43
6_Month,50-59,671689,251878,37.5
1_Year,50-59,808360,279793,34.61
All,50-59,933886,337095,36.1
1_Month,60-69,100238,8002,7.98
3_Month,60-69,282301,50588,17.92
6_Month,60-69,553536,176885,31.96
1_Year,60-69,664365,194568,29.29
All,60-69,763805,233047,30.51
1_Month,70-79,66820,6764,10.12
3_Month,70-79,188804,35026,18.55
6_Month,70-79,347764,99272,28.55
1_Year,70-79,419018,108945,26
All,70-79,483454,129404,26.77
1_Month,80-89,27333,2354,8.61
3_Month,80-89,70956,12794,18.03
6_Month,80-89,129513,37879,29.25
1_Year,80-89,160569,42494,26.46
All,80-89,202483,53507,26.43
1_Month,90+,7672,506,6.6
3_Month,90+,17382,2955,17
6_Month,90+,30209,9597,31.77
1_Year,90+,37952,10798,28.45
All,90+,52226,14467,27.7
