age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,1,491,4720,335.6,178.4,1685.5,0,0,1,0,0,0.4
16-19,115,2084,1907,103.9,671.3,1354.3,0,0,1,0,0,0.7
20-29,356,5803,3621,112.1,832.5,1416.7,0,4,12,0,0.6,4.7
30-39,573,6069,3456,149.3,1013,1880.7,0,1,45,0,0.2,24.5
40-49,588,3575,2443,118.8,804.7,1727.5,6,8,84,1.2,1.8,59.4
50-59,371,1483,1227,76.6,540.2,1263.7,6,23,74,1.2,8.4,76.2
60-69,333,794,756,64,527.1,1146.7,12,35,103,2.3,23.2,156.2
70-79,233,405,395,58.5,526.6,857.2,17,41,79,4.3,53.3,171.4
80-89,156,272,253,90,690.2,1148.5,19,30,48,11,76.1,217.9
90+,62,72,83,176.8,544,968.5,1,7,20,2.9,52.9,233.4
